sentence,label,avg_nll,p95,run
Six reindeers ducked to avoid a a button.,-1,5.803343,12.067170,3
An egg yolk will dissever from some adrenaline.,-1,6.240814,12.089067,3
A human baby dumps a below the line.,-1,6.705144,12.098376,4
A girl doesn't iron an offshore well production ship.,-1,7.021521,12.247174,6
0 human youths will read a a british pound coin.,-1,7.581984,11.756456,10
2 girls will xerox a two dimensional object.,-1,6.050435,8.820261,5
A man plugs a worker insect.,-1,7.044308,10.771983,3
A deity will impersonate.,-1,6.938356,10.177295,4
A woman looks for a some bauxite.,-1,5.273771,7.712553,4
A rattlesnake kills.,-1,4.531074,7.839273,2
5 men caught some riboflavin.,-1,6.011348,8.958459,6
An alligator is imbibing some processed milk.,-1,5.299111,10.575119,3
Six men conveyed a diode to a left humerus.,-1,6.074654,11.177307,3
An automated notification system constricts a permanent magnet dc motor.,-1,5.475066,10.008808,4
A dachshund is kicking a L1 vertebra bone with a foot.,-1,4.615384,9.766134,3
A human baby is injecting some histone into a poodle.,-1,5.280884,9.706342,3
A boy doesn't find a heart palpitations.,-1,5.183303,7.969146,3
A teenager bound a die to a medulla.,-1,6.547205,10.247257,5
A deity isn't lending a seat belt to 7 women.,-1,6.206151,12.902519,3
A human child shoots some receptor protein into a warm blooded vertebrate.,-1,5.494803,10.921519,7
A conifers will be hiding a TV.,-1,6.381190,10.496779,4
A kangaroo sprays some schnapps.,-1,5.439322,11.773975,2
Some tissue is compounding with a right atrium.,-1,5.425177,11.664718,2
A girl canvass some tapioca starch.,-1,6.305983,12.641048,3
A political coalition doesn't attack.,-1,6.773308,10.046398,4
0.416 liquor shots of wood alcohol won't be poisonning a vaccinia virus.,-1,6.357678,11.278000,6
A teenager will be vandalising some firm cheese.,-1,6.564682,11.303156,4
Five boys are borrowing null.,-1,8.799579,11.728741,3
Nine crustaceans punches an anti-vaxxer.,-1,5.635113,14.979380,4
8 salmonella partyphis lost an anaconda.,-1,8.489285,13.682439,5
A human adult is paying a deity.,-1,6.499531,11.035974,3
A speedometer made.,-1,6.721841,9.016367,2
A human child has not took a sludge disposal vessel.,-1,6.462776,10.584456,4
A teenager will ideate an altimeter.,-1,6.774039,9.907546,4
A human child smoked a cigar or cigarette.,-1,5.327818,8.325897,4
3 antelopes will kick an air launch missile with a foot.,-1,5.693110,9.416689,7
A coral drinks some lungo.,-1,8.292693,11.421387,6
3 rodents will be seeing some food.,-1,6.894136,9.445847,4
A deity borrowed null.,-1,9.933503,12.902519,5
Some steam boils.,-1,8.254990,10.087667,4
2 human children doesn't interview a human child.,-1,6.396168,12.656145,4
An arthropod is ducking to avoid a a valve.,-1,5.340889,13.128817,3
A man was massaging a human child.,-1,5.515205,8.633698,2
A mouse will be finding from a school.,-1,6.122464,9.714685,3
A human child grows a tea tree.,-1,5.967924,8.325897,6
A human youth will be posting some immunosuppressive to a hijab.,-1,5.758029,11.888130,4
0 fishes has not nodded a head.,-1,7.848318,12.506950,5
A shea nut will be working.,-1,6.104567,9.957314,3
A crustacean drinks some processed gaot milk.,-1,7.604748,13.761989,6
A carburetor isn't radiating a L1 vertebra bone a shea nut.,-1,6.032902,12.572895,8
Two boys were generating a rope.,-1,6.148996,8.256269,2
A human child helped a girl.,-1,6.435921,8.325897,4
A senepol cattle will punch a petroleum product pipeline.,-1,6.519456,13.246677,3
A pottery chills some poultry.,-1,8.218770,11.393229,7
A human child tastes some sunflower oil.,-1,5.850281,8.584108,6
A veil doesn't conceal an Aspen tree.,-1,6.132153,11.562181,4
Zero human youths produces some chocolate.,-1,9.834596,11.682473,7
A boy won't be pouring 19 teus of Jamesons whiskey into a forty foot high cube container.,-1,5.564676,10.968300,5
A human adult tastes some seafood.,-1,6.850234,8.955013,6
A moth is burying.,-1,6.350880,11.533781,2
Some duck was working.,-1,7.974755,8.606287,5
A herpesB virus wasn't selling a directional control valve a francisella tularensis.,-1,5.719022,12.790550,5
A punching is damaging a golf ball.,-1,5.753359,10.019524,4
A girl will be wading through an inlet passage.,-1,5.047262,8.486416,3
A human child will befriend a human youth.,-1,5.141879,8.228265,4
7 girls discovered a shoulder girdle bone to a branch to volar carpal network artery.,-1,6.140768,12.146366,6
Zero human adults will be taking from a violin a human child.,-1,6.531100,11.507458,4
A human child will be xeroxing a two dimensional object.,-1,5.206835,8.325897,4
A carnivore kills a tick.,-1,5.452381,9.306656,2
A girl is subjecting four splenic arterys to a woman.,-1,5.937577,9.540810,7
A butterfly was seeing a sword.,-1,5.887448,9.197451,4
A venezuelan equine encephalitis will not infect an einkorn wheat grass.,-1,4.123202,10.807928,4
An angel has not fried some goat meat.,-1,6.501309,9.015535,7
A mollusk is inspecting at a superior thoracic artery.,-1,5.722755,12.707088,2
A girl will be dodging a skate.,-1,5.665407,8.929872,3
An oyster will be watching at a bronchial artery.,-1,5.023211,8.276575,2
A human adult will be sculpting a sculpture.,-1,5.191822,8.325897,4
A squirrel will be drinking some tequila.,-1,5.427689,9.011962,3
A teenager cleans.,-1,8.637725,9.996041,4
An aquatic mammal will eat some alcoholic beverage.,-1,5.492820,9.652147,4
A larch tree is starving an anaconda.,-1,5.906663,9.393089,3
An extracellular enveloped virion vaccinia rendered a birth certificate into a north caucasian language.,-1,5.845303,12.260305,5
A man drives a jet airplane.,-1,4.944904,6.926332,3
A girl will be pestling a wagon.,-1,6.674741,11.410838,3
3 human youths chokes a man.,-1,6.889056,11.196314,5
A care organization will be wetting some brackish water to a museum.,-1,5.249445,10.545727,4
An egg yolk is suffering a boat seat 2 pituitary glands.,-1,5.047178,11.485647,3
Some hailstone was evaporating into a harbor.,-1,6.220605,11.578994,5
A lilac was pulling some osmium.,-1,6.747197,10.728163,6
A venezuelan equine encephalitis is infecting a clostridium botulinum.,-1,3.192225,10.667565,2
A lent strengthened.,-1,9.639796,11.946907,4
An angel is committing four united states dollar bills.,-1,7.084109,12.101714,3
A boy forgives a subjective emotional feeling to a teenager.,-1,5.699410,11.967739,4
A human child was paring 10 eyelids from a human youth.,-1,5.563954,10.383081,3
A human youth dodges a lunate bone.,-1,6.646332,11.124502,4
A llama sees a mass airflow sensor.,-1,7.519413,12.643508,3
4 girls will be determining.,-1,7.480409,10.030562,3
A human baby will be binding an electrical plug to a vomer bone.,-1,5.578668,12.620971,4
A man is lending some soil solution to a deity.,-1,5.844807,11.862664,4
A caterpillar will smell with a nose.,-1,5.378055,9.984502,3
A human adult was sculpturing a sculpture.,-1,5.833371,8.325897,6
A human baby is transforming an evening.,-1,6.832960,8.907597,4
A human child will determine a question.,-1,6.091622,8.325897,5
A teenager observed 6 PATELLAs.,-1,6.535015,10.946776,4
Some signaling protein won't be smoothenning a tagiyyah.,-1,6.319150,12.293764,5
A human baby will transform an unit of angular measure.,-1,6.251467,9.343576,7
Gerald doesn't lend a DVD to a human adult.,-1,5.900264,10.981906,3
A pericardial sac will harm a vertebrate.,-1,4.465670,9.561251,3
A human youth is toying.,-1,6.881517,8.527987,3
10 human children demonstrates a guitar to a human child.,-1,6.398729,12.191020,4
A woman was acting.,-1,6.491951,9.477167,2
A human baby is buying a transit system.,-1,5.643520,10.330273,3
A woman will be breaking.,-1,6.454217,8.270301,3
A deity irrigates the fertile terrain.,-1,6.434604,12.902519,3
A hospital chapel will be wetting 7.6460 cups of freshwater to 9 Aegilops Tauschiis.,-1,5.528435,11.379148,4
8 men won't vote.,-1,6.543976,8.491366,3
A tiger will be rendering a JOPES manual into a tai kadai language.,-1,6.346990,12.365627,5
A deity fished seven tunas.,-1,6.849854,10.087976,6
A human youth befriended a teenager.,-1,5.460423,10.381987,4
A human adult will compare a military squad.,-1,7.070772,10.846277,5
A communist party will not mail a letter.,-1,5.583906,12.174650,2
A human baby was evincing a subjective emotional feeling to a human baby.,-1,4.891751,9.437855,4
Six human adults weren't paying a teenager.,-1,6.685111,8.963557,4
A human child won't be soldering some steel.,-1,6.157276,9.336693,4
A japanese encephalitis virus killed a leech.,-1,4.437292,9.665941,3
A teenager will be shouting.,-1,6.791002,8.763175,3
A human youth is comparing a mortar platoon.,-1,6.389983,11.597451,3
8 brucella bacteriums will uncover an extended fishing zone.,-1,6.744733,12.044343,7
An Independent church leaves some linguine to some chicken meat.,-1,7.053509,10.888030,7
A llama doesn't hear a speaking.,-1,6.379290,11.099587,3
A human youth massages a human child.,-1,6.463107,11.797283,4
An angel painted an occipital lobes.,-1,5.552233,8.280557,6
A woman is shooting a m240.,-1,6.194419,9.658146,3
A MRSA has not pressed a greater palatine artery.,-1,5.826728,12.784983,6
A consulate general will be selling an art work a house church.,-1,6.038275,10.345809,4
9 reptiles tramp some V series nerve agent to four submental deep branch arterys.,-1,7.462529,11.128017,8
A human baby combines with a bladder.,-1,6.456758,10.215411,5
A girl waters the fertile terrain.,-1,6.796633,9.563009,3
A human adult reproduces 6 kentia palm seeds.,-1,5.572209,10.148200,4
A man doesn't divulge a right marginal artery to a posterior division iliac artery.,-1,5.642258,12.660788,3
A lobster will be determining from a museum.,-1,6.710143,11.430847,3
A pea was firing.,-1,7.752102,11.923179,5
A deity will perform.,-1,7.350497,6.804146,5
A teenager doesn't direct a toy house to a coral reef.,-1,5.455196,10.259279,3
A grasshopper punched 3 monocytes.,-1,5.910601,12.148959,2
A human adult will judge a question.,-1,6.355382,8.325897,5
A human baby will be referring a non null set.,-1,6.351248,10.801199,5
A deity has not peeled 4 eyelids from a mule.,-1,5.531042,12.902519,6
A caterpillar will comprehend a courtyard.,-1,6.549250,11.928860,2
A woman will be producing a la crosse virus to nine human youths.,-1,6.212174,11.241096,5
An ornamental fish dumps some transport protein.,-1,7.328696,12.616490,6
Three men won't paint a knock light.,-1,7.312771,12.482637,3
A musculo articular branch artery contracts some abalone.,-1,6.898152,10.161022,7
An irrigation channel is closing.,-1,6.090039,9.481588,3
An amphibian was eating some Baileys.,-1,5.215748,9.990803,5
A horse excretes some urine from a palm bone.,-1,5.448150,10.149952,3
Two clovers are not stretching.,-1,6.474133,11.618108,2
A teenager doesn't pestle 12.73 ton masss of beryllium.,-1,5.751517,9.311785,9
A LabCorp will not be extending.,-1,6.564546,10.039557,5
A man doesn't paint a directional control valve.,-1,6.298492,10.593733,3
A left ulna wasn't closing.,-1,7.047630,11.116346,5
A teenager will not express a subjective emotional feeling to a girl.,-1,5.330821,8.070199,4
A hospital chapel sold two radial recurrent arterys an amphibious reconnaissance unit.,-1,7.817359,15.242464,8
A human baby was understanding a passport.,-1,7.212629,12.109442,3
A human child will be questioning a girl.,-1,6.103222,8.325897,4
Catherine will be downloading a JPG file.,-1,5.098945,9.612463,3
An angel reproduces a steppe.,-1,5.780443,9.639793,3
A human child was not slicing a communist party with a paper shredder.,-1,5.578332,13.315845,3
A girl lubricates a left tibia.,-1,5.615719,9.728809,3
A human child directed an american city to an aquatic mammal.,-1,5.755573,9.868214,7
Some ground water cuts some brackish water.,-1,5.300617,9.587658,6
A salvation army mission shares a right distal phalanx I bone a maple tree.,-1,5.906545,13.264457,4
A human child will perform.,-1,6.798410,7.903652,6
An antelope was visitting a leg to four legionellas.,-1,7.087462,11.415894,5
An anchor will be concealing a clinic.,-1,6.260431,12.886781,3
A boy was choosing a question.,-1,6.002963,8.370236,2
Four human youths will not perform.,-1,7.377593,8.577231,7
An agency ascertains from a school.,-1,5.566419,7.640059,4
2 human youths will be voting.,-1,7.171719,10.551282,4
A human baby was reproducing a left maxilla bone.,-1,5.668832,9.795102,3
A company- military found from a medical school.,-1,7.177035,10.936271,6
A human child will be watering the fertile terrain.,-1,6.518249,9.347681,4
A boy will not watch at a right proximal foot phalanx IV bone.,-1,5.707152,11.117322,3
A human youth waves with a hand.,-1,6.762358,11.372864,5
A kitten was rendering an american express card into a mandan group language.,-1,6.639450,10.830993,4
A Javelin anti-tank missile has not turned.,-1,5.027116,8.743883,3
A man will be including a non null set.,-1,6.273193,11.673717,4
10 boys were not judging a question.,-1,7.313730,12.124680,5
A switch device roughens a right true rib 7 bone.,-1,7.620179,13.243641,5
An Apostolic church famishes a poultry.,-1,7.849131,14.030668,3
Grace is placing a coin.,-1,6.754394,10.453485,2
A ship berth starves a donkey.,-1,6.089538,9.988390,5
A man is borrowing an angel.,-1,5.950966,9.362991,3
A deer is losing an ocean liner.,-1,6.208578,9.928357,4
A Baptist union of wales translated a pass certificate into a birds head language.,-1,6.758576,11.225957,4
7 human youths has not interviewed a teenager.,-1,7.711484,10.957922,8
A warm blooded vertebrate has not swops a bladder with a recording company.,-1,5.818216,12.545096,6
A human adult paints an Elim pentecostal church.,-1,6.054939,13.152945,4
An octopus will not be releasing a United free church of Scotland.,-1,5.970087,11.774231,4
8 human children raises.,-1,8.882185,11.074199,5
A boy loans an organizational board to an angel.,-1,6.194127,12.592898,6
An afferent arteriole was precipitating a forty foot standard container a petroleum tanker ship.,-1,5.835659,10.869555,8
Five variola minors weren't attacking.,-1,8.329186,11.760207,5
A human child binds 4.377 amus of polonium to a central retinal artery.,-1,5.334430,11.248922,5
Nine human babys are seating a teenager to a a chair.,-1,7.227759,12.764425,8
A human youth questioned a girl.,-1,6.639805,10.372650,4
An angel sung a musical composition with a speaking in a disturbed fashion.,-1,5.863705,11.146035,3
A human baby will be helping an angel.,-1,6.098871,8.325897,4
A human adult specifies a nonprofit organization to accomplish an IT process.,-1,6.170549,11.991991,4
A teenager has not understood a canadian dollar coin.,-1,6.310078,8.625050,3
A human adult is breaking an apartment building to an investing.,-1,6.695091,11.363424,4
A girl dodges some pine wood.,-1,6.255389,7.939543,4
A hepatitis virus affixs ten interlobar arterys.,-1,6.659405,10.407377,9
A boy is playing.,-1,4.830717,5.957970,2
An insect refinances a secured loan.,-1,6.496113,11.285098,4
A human youth will be pointing an anterior spinal artery with a wet bar.,-1,6.296857,11.797283,4
A human adult was determining a question.,-1,6.582414,8.325897,7
A girl is inheritting some tequila.,-1,6.170735,11.061943,4
Three human babys were vandalizing a rickettsia rickettsii.,-1,5.068932,9.988773,6
Some wheat flour ferments.,-1,6.678240,11.393386,4
Six human adults will be voting.,-1,6.621984,8.963557,4
UNK_ORG_1 was looking for a a T1 vertebra bone.,-1,5.811144,14.316779,4
Two teenagers were soldering some brass.,-1,6.314553,7.847475,3
8 human adults buy a house.,-1,6.094740,8.608306,4
An angel will be disbursing a boy.,-1,5.318922,10.393925,3
A human child was massaging a man.,-1,5.487261,8.325897,3
An ornamental fish will eat some palm oil.,-1,5.702792,8.286722,6
A lion was killing a grasshopper.,-1,4.332755,8.570319,4
A house church protects a Shaftesbury society.,-1,6.784504,11.948392,4
6.06 ounces of ground water was reducing some tear.,-1,6.693334,11.360765,7
Some pancake ferments.,-1,6.754275,12.996390,2
Some maple wood will frost.,-1,7.536035,11.530526,5
A rat kicked a musical group with a foot.,-1,6.134960,10.885339,3
A guernsey cattle was respiring some greenhouse gas.,-1,6.210582,11.508028,3
A human adult is reading a a ticket.,-1,6.282151,10.043562,3
A tuna is protecting a tennis court.,-1,6.125384,12.453738,2
A water buffalo will be smelling with a nose.,-1,5.387808,8.022398,4
A human baby is impersonating.,-1,6.735394,8.325897,3
A mouse is not chewing.,-1,6.148400,9.878368,3
A cold blooded vertebrate sprays 12.4410 ounces of patron tequilla.,-1,5.520342,13.902499,3
A domestic dog will be smelling with a nose.,-1,5.164449,9.590354,4
An anaconda is comprehending a mast.,-1,6.043487,10.570353,2
A teenager wasn't pointing a right III metacarpal with a hand.,-1,5.546266,12.453750,3
Six human youths are binding an Evangelical church to some hydrocarbon.,-1,6.713898,11.598623,3
A rewritable data storage radiates a forty foot high cube container a tug boat.,-1,6.473478,14.272863,7
A woman pours 3.609 pints of beer into a forty foot half height container.,-1,4.837665,10.257570,5
A rickettsia rickettsii will be eating some mollusk.,-1,4.278290,9.366667,3
A hominid ducked to avoid a a telephone handset.,-1,5.388958,10.185778,3
Zero boys doesn't process a mass airflow sensor.,-1,7.210041,10.702309,5
An airbag wasn't inflating with some greenhouse gas.,-1,5.201558,8.651860,4
A human baby is strangling 4 human adults.,-1,5.085075,8.325897,3
A human baby doesn't look for a a national government.,-1,5.323611,9.207756,4
An overseas area visits a political pressure group to a rickettsia prowazekii.,-1,5.318220,10.003169,4
A man forgives a subjective emotional feeling to a human baby.,-1,5.543881,12.850998,4
Three boys doesn't break a security to a measuring surface wind speed list.,-1,7.205027,11.838784,6
A mule comprehends a golf maneuver.,-1,6.664871,12.526319,4
A Cypress tree will not kill a poultry.,-1,5.753784,10.746290,4
A sea port was losing a hydrometer.,-1,5.861967,11.604465,5
Some iceberg is vaporising into a glacier.,-1,6.262608,10.348450,5
A crocodile ate some semi firm cheese.,-1,5.912554,10.497461,4
A human child is not pressing a nipah virus.,-1,6.313834,12.647126,3
Victoria is paying an angel.,-1,7.012934,10.223991,4
A land mine has not fired.,-1,5.710817,8.714561,6
A human baby combined with a fixed bridge.,-1,6.089975,11.777980,4
A venezuelan equine encephalitis infects a queen insect.,-1,4.037355,10.667564,2
A human adult was guiding a deity.,-1,6.871707,11.819839,5
An angel doesn't sing a song with a speaking a long utterance.,-1,4.830467,9.761821,4
A human youth seeks for a a water ski.,-1,6.828293,9.308433,5
A woman plans a rowing.,-1,6.078873,9.525708,3
A man is not assisting a deity.,-1,6.185802,11.801647,2
A human child will be fishing a skate.,-1,6.408286,9.862309,4
An ornamental fish sprayed some sake.,-1,7.172507,11.445086,5
A boy will be storing a nuclear weapon production facility.,-1,5.733137,13.387347,3
A human adult doesn't raise.,-1,6.649452,8.325897,4
A boy isn't pressing some soup stock.,-1,7.365893,10.848834,5
A ferret was dumping a gastro-intestinal tract.,-1,5.428350,13.421062,2
A fish buries.,-1,6.165368,8.590038,3
Seven boys were not comparing an inland water system.,-1,7.107130,11.516998,6
An angel presented a bond.,-1,6.710502,9.412360,3
4 boys sculpt a sculpture.,-1,7.039209,10.096257,3
A teenager is buying a printed sheet.,-1,5.836863,9.473986,3
Five girls are combining with a radiological weapon.,-1,6.346162,11.816410,3
A boy is breaking.,-1,6.368375,7.969146,2
A human baby will beckon with a hand.,-1,5.189073,8.325897,5
A corynebacterium diphtheriae loses a external gear.,-1,4.468988,13.476247,5
An airbag inflates with 7.64 feus of greenhouse gas.,-1,5.177278,12.422406,3
A teenager was befriending a human baby.,-1,4.868151,8.268583,2
A boy is not painting some tantalum.,-1,6.699100,12.216202,5
Zero herpesB viruss were selecting a tibia.,-1,8.637219,13.855566,10
Some wood alcohol won't be poisonning an ape.,-1,6.754965,9.972322,4
An electrical transformer isn't compacting a spring.,-1,6.164873,9.965148,4
A boy will be lending a self-service laundry to a human baby.,-1,5.313450,10.055362,3
10 invertebrates will not pull a piston.,-1,5.883732,9.665149,3
4 teenagers will be placing an united states dollar bill.,-1,6.465311,10.537609,3
A crustacean will consume some sauce.,-1,5.750554,11.817321,4
A human baby will be advertizing a wireless internet to a human adult.,-1,5.305361,8.852385,4
A girl produces an alfalfa plant.,-1,5.374211,11.647917,3
A woman recalls a multipole.,-1,7.239015,8.935578,3
A human adult will be injecting 20 grams of opium into a worm.,-1,4.558489,9.106423,4
A girl runs a human youth.,-1,6.929721,8.014404,7
A human adult planned a sublimation.,-1,5.989253,8.775666,4
A girl was seating five human youths to a an auditorium seat.,-1,6.566938,11.239265,5
A mule was spraying some rum.,-1,6.454562,10.491467,8
A teenager assails.,-1,7.735880,8.978200,3
Eight girls communicates with a human baby.,-1,7.034038,9.895968,3
A teenager will be inheritting a right fibula.,-1,6.051030,12.225238,3
A tropical cyclonic system was damaging a sphenoid bone.,-1,5.217300,9.540464,2
A woman mails a letter.,-1,4.908959,5.834043,3
A cod is converting some initiator protein for an electrocardiogram.,-1,6.104932,13.990541,10
An organization of nations reveals some Inderal.,-1,6.743016,10.591726,5
A woman was stealing a dining room from an Independent Methodist church.,-1,4.924145,10.185205,2
An optical device doesn't melt.,-1,5.987838,8.953308,4
A girl was calling a girl a corded telephone.,-1,5.336082,8.900271,2
A bumble bee will be unveiling 9 insects.,-1,5.531884,8.749979,5
Who observed 16.14 pound masss of rhodium?,-1,6.077191,11.633153,7
Ten men will be voting.,-1,6.044315,9.280792,3
An angel is lending a vehicle controller to a deity.,-1,6.001869,11.371186,2
A woman dredges a river mouth.,-1,5.255989,7.565859,3
An animal shares a private railcar a sorghum grass.,-1,6.335895,11.818178,3
A boy dishonours 3 human youths.,-1,6.371573,12.080969,3
A differential hides a communication radio.,-1,7.645829,10.924980,3
0 men get from a tap a teenager.,-1,7.261882,10.585076,4
A girl solders some steel.,-1,6.045839,8.161546,6
A woman doesn't detect an occupational role.,-1,6.167330,9.562816,5
A human baby will be driving a mini cooper.,-1,5.265780,8.325897,4
Some coffee grind works.,-1,8.208300,9.717660,5
A human child was sending a crane ship to a documentary.,-1,6.002167,11.993538,3
A water buffalo will be adding a global cross_functional team.,-1,6.789039,10.699089,4
A woman will be painting a left colic artery.,-1,5.550954,10.100278,3
A deity commits an euro cent coin.,-1,7.792253,12.902519,3
A millet grass empties some urine from a perineal artery.,-1,5.950964,14.597055,4
A Poplar tree will be starving a deer.,-1,5.960702,10.501358,3
A clothes washing machine will not be smoothenning a left stapes bone.,-1,6.312799,12.034221,6
A human youth befriended a boy.,-1,5.302633,10.381987,4
A sports team has not roughened some special purpose protein.,-1,6.636533,9.132272,11
A human youth won't promote some coal to a human child.,-1,5.960381,11.036638,4
A boy was communicating with a human baby.,-1,5.083316,7.969146,2
A man is painting an air intake.,-1,5.443845,6.859643,5
A girl was analyzing a bleeder valve.,-1,5.931386,11.619991,2
6 women doesn't write a shawiya language.,-1,7.166397,11.986259,3
A human youth won't be spraying some Vietnamese coffee.,-1,7.047919,11.797283,5
A human baby is reproducing 10 mylohyoid branch arterys.,-1,5.289802,11.701319,3
A mollusk will be determining.,-1,6.520392,11.127429,2
A sheep was plugging a barley grass.,-1,5.977540,9.365438,5
An Anglican church was famishing a domestic cat.,-1,5.828513,9.822580,5
A holster dissevers from a zucchini.,-1,7.004871,12.367451,4
A funeral arranger was refinancing a day loan.,-1,5.132474,9.554560,3
A bowling shoe doesn't radiate a communication device a putting green.,-1,5.786835,11.855968,4
A man stole a crustacean from a dramatic cast.,-1,5.205121,11.580635,3
Some nutmeg works.,-1,6.766147,7.650125,5
A human youth will be demonstrating three wine grapes to an angel.,-1,6.188543,11.473250,4
5 cubs were kicking some pseudoephedrine with a foot.,-1,6.367427,12.931368,4
An eutelsat will fire.,-1,5.958102,6.797396,4
An age group will not famish a bee.,-1,6.871063,10.529539,9
A human youth was submitting a stream water area to a woman.,-1,6.310931,11.797283,5
Ten girls doesn't paint some Cedar wood.,-1,8.369986,14.255991,4
A teenager shoots some Inderal into zero reindeers.,-1,6.691495,13.077795,6
A human baby doesn't toy.,-1,6.598397,8.325897,4
A man irons a vehicle registration.,-1,5.655147,11.305471,3
A human youth will ravish a human adult.,-1,5.226335,11.413061,5
A boy bears 6 maple trees.,-1,6.051891,10.460651,6
Nine fishes were kicking a cheetah with a foot.,-1,5.855323,11.850437,6
An invertebrate was not adding a kidney.,-1,5.496573,8.902055,3
A girl decided a question.,-1,6.647882,7.939544,6
An interosseous recurrent artery was turning.,-1,5.818880,9.365314,3
An intestinimonas will release a Ford car.,-1,7.534319,13.000643,4
A human baby is choreographing a vehicular pollution.,-1,6.044120,14.984456,3
A human child will compare a Methodist church in Ireland.,-1,6.690484,9.813662,5
4.84 cubic foots of industrial alcohol poisons a mammal.,-1,5.651394,10.702419,3
A bee empties some feces from a clavicular artery.,-1,5.066145,10.597803,3
Ten human babys drives a motor scooter.,-1,8.014359,14.526764,4
A material handling equipment was smoothing a human youth.,-1,7.094709,13.035230,3
2 human children will plan a tsunami.,-1,7.368524,10.675779,5
A teenager was singing a song with a disgusted voice utterance.,-1,5.018706,11.032932,4
A human child has not transformed a multipole quantity.,-1,6.708741,11.290092,6
Some industrial alcohol poisons an unenveloped virus.,-1,5.598288,9.434095,4
A vertebral artery will roughen seven clostridium perfringenss.,-1,4.823770,12.211300,3
An airbag will inflate with some greenhouse gas.,-1,5.224120,6.373613,4
An angel is understanding a chairman instruction.,-1,7.002898,11.051535,4
A deity is canvassing a volcanic mountain.,-1,6.371859,12.902519,2
An angel will be breaking.,-1,6.495370,8.002480,3
A girl fried some latte.,-1,7.019823,10.011301,7
A woman detects some semi skimmed milk.,-1,6.174436,11.964873,6
A human youth interviewed a human baby.,-1,6.578483,11.408215,7
A boy was not analysing a lateral plantar artery.,-1,5.033568,10.842566,2
An ecumenical project is assailing.,-1,5.857474,10.716433,3
A July decreased.,-1,9.474476,10.704172,4
Seven united states ten cent coins will not be roughenning a mouse.,-1,6.901087,11.164055,3
Ida was borrowing an angel.,-1,6.568001,9.722187,4
Nine teenagers were pestling a grecian tub.,-1,7.179650,10.854172,2
A human adult ideated a frisian language.,-1,6.204311,10.101955,5
A girl will study a queen insect.,-1,6.325892,9.060289,4
A teenager is reading a a message.,-1,6.031226,10.202394,3
A man is locating some instant coffee.,-1,5.830731,10.935274,3
A mollusk was revealing some Valium.,-1,6.753455,12.707088,5
A human child interviews a human baby.,-1,5.759774,8.325897,4
Some snow is freezing.,-1,6.761975,8.634877,2
Four ornamental fishes breathes 1.8 cups of greenhouse gas.,-1,5.585398,11.454978,2
A girl buys a freight car.,-1,5.741096,8.229699,3
A cuboid bone smooths some Hartmann's solution.,-1,6.126573,12.359903,2
A fish plugs 2.8 pound masss of carbon.,-1,6.125715,10.766023,4
A deity will be bombing.,-1,7.525419,12.902519,3
A constrictor snake will not be seeing at 17.98 long tons of mycotoxin.,-1,4.744209,8.928156,4
A woman won't be placing eight united states cent coins.,-1,6.335343,11.660003,3
Dalton wasn't reproducing a car alarm.,-1,5.742172,10.780462,2
9 human youths searched for a a go game.,-1,7.395621,10.948231,4
Some iceberg evaporates into a salt lake.,-1,5.805367,11.472264,3
A human youth fishes 9 ornamental fishes.,-1,6.529995,11.797283,7
