sentence,avg_nll,p95,human_label
A deity isn't lending a seat belt to 7 women.,6.206151,12.902519,1
A human child shoots some receptor protein into a warm blooded vertebrate.,5.494803,10.921519,1
A conifers will be hiding a TV.,6.38119,10.496779,-2
A kangaroo sprays some schnapps.,5.439322,11.773975,1
Some tissue is compounding with a right atrium.,5.425177,11.664718,1
A girl canvass some tapioca starch.,6.305983,12.641048,1
A political coalition doesn't attack.,6.773308,10.046398,3
0.416 liquor shots of wood alcohol won't be poisonning a vaccinia virus.,6.357678,11.278,1
A teenager will be vandalising some firm cheese.,6.564682,11.303156,1
Nine crustaceans punches an anti-vaxxer.,5.635113,14.97938,1
8 salmonella partyphis lost an anaconda.,8.489285,13.682439,-1
A human adult is paying a deity.,6.499531,11.035974,1
A speedometer made.,6.721841,9.016367,-1
A human child has not took a sludge disposal vessel.,6.462776,10.584456,1
A teenager will ideate an altimeter.,6.774039,9.907546,2
A human child smoked a cigar or cigarette.,5.327818,8.325897,2
3 antelopes will kick an air launch missile with a foot.,5.69311,9.416689,1
A coral drinks some lungo.,8.292693,11.421387,-2
3 rodents will be seeing some food.,6.894136,9.445847,2
Some steam boils.,8.25499,10.087667,2
2 human children doesn't interview a human child.,6.396168,12.656145,1
An arthropod is ducking to avoid a a valve.,5.340889,13.128817,1
A man was massaging a human child.,5.515205,8.633698,2
A mouse will be finding from a school.,6.122464,9.714685,1
A human child grows a tea tree.,5.967924,8.325897,2
A human youth will be posting some immunosuppressive to a hijab.,5.758029,11.88813,-1
0 fishes has not nodded a head.,7.848318,12.50695,-2
A shea nut will be working.,6.104567,9.957314,-2
A crustacean drinks some processed gaot milk.,7.604748,13.761989,1
A carburetor isn't radiating a L1 vertebra bone a shea nut.,6.032902,12.572895,-1
Two boys were generating a rope.,6.148996,8.256269,1
A human child helped a girl.,6.435921,8.325897,2
A senepol cattle will punch a petroleum product pipeline.,6.519456,13.246677,1
A pottery chills some poultry.,8.21877,11.393229,-2
A human child tastes some sunflower oil.,5.850281,8.584108,2
A veil doesn't conceal an Aspen tree.,6.132153,11.562181,2
Zero human youths produces some chocolate.,9.834596,11.682473,1
A boy won't be pouring 19 teus of Jamesons whiskey into a forty foot high cube container.,5.564676,10.9683,1
A human adult tastes some seafood.,6.850234,8.955013,2
A moth is burying.,6.35088,11.533781,2
Some duck was working.,7.974755,8.606287,1
A herpesB virus wasn't selling a directional control valve a francisella tularensis.,5.719022,12.79055,-2
A punching is damaging a golf ball.,5.753359,10.019524,1
A girl will be wading through an inlet passage.,5.047262,8.486416,2
A human child will befriend a human youth.,5.141879,8.228265,2
7 girls discovered a shoulder girdle bone to a branch to volar carpal network artery.,6.140768,12.146366,2
Zero human adults will be taking from a violin a human child.,6.5311,11.507458,-1
A human child will be xeroxing a two dimensional object.,5.206835,8.325897,2
A carnivore kills a tick.,5.452381,9.306656,2
A girl is subjecting four splenic arterys to a woman.,5.937577,9.54081,-1
A butterfly was seeing a sword.,5.887448,9.197451,1
A venezuelan equine encephalitis will not infect an einkorn wheat grass.,4.123202,10.807928,1
An angel has not fried some goat meat.,6.501309,9.015535,1
A mollusk is inspecting at a superior thoracic artery.,5.722755,12.707088,1
A girl will be dodging a skate.,5.665407,8.929872,2
An oyster will be watching at a bronchial artery.,5.023211,8.276575,-2
A human adult will be sculpting a sculpture.,5.191822,8.325897,2
A squirrel will be drinking some tequila.,5.427689,9.011962,1
A teenager cleans.,8.637725,9.996041,2
An aquatic mammal will eat some alcoholic beverage.,5.49282,9.652147,1
A larch tree is starving an anaconda.,5.906663,9.393089,-2
An extracellular enveloped virion vaccinia rendered a birth certificate into a north caucasian language.,5.845303,12.260305,-2
A man drives a jet airplane.,4.944904,6.926332,2
A girl will be pestling a wagon.,6.674741,11.410838,1
3 human youths chokes a man.,6.889056,11.196314,1
A care organization will be wetting some brackish water to a museum.,5.249445,10.545727,-1
An egg yolk is suffering a boat seat 2 pituitary glands.,5.047178,11.485647,-1
Some hailstone was evaporating into a harbor.,6.220605,11.578994,1
A lilac was pulling some osmium.,6.747197,10.728163,-2
A venezuelan equine encephalitis is infecting a clostridium botulinum.,3.192225,10.667565,1
A lent strengthened.,9.639796,11.946907,-3
An angel is committing four united states dollar bills.,7.084109,12.101714,1
A human child was paring 10 eyelids from a human youth.,5.563954,10.383081,1
A human youth dodges a lunate bone.,6.646332,11.124502,2
A llama sees a mass airflow sensor.,7.519413,12.643508,2
4 girls will be determining.,7.480409,10.030562,2
A human baby will be binding an electrical plug to a vomer bone.,5.578668,12.620971,1
A man is lending some soil solution to a deity.,5.844807,11.862664,1
A caterpillar will smell with a nose.,5.378055,9.984502,1
A human adult was sculpturing a sculpture.,5.833371,8.325897,2
A human baby is transforming an evening.,6.83296,8.907597,2
A human child will determine a question.,6.091622,8.325897,2
A teenager observed 6 PATELLAs.,6.535015,10.946776,2
Some signaling protein won't be smoothenning a tagiyyah.,6.31915,12.293764,-1
A human baby will transform an unit of angular measure.,6.251467,9.343576,-1
Gerald doesn't lend a DVD to a human adult.,5.900264,10.981906,2
A pericardial sac will harm a vertebrate.,4.46567,9.561251,1
A human youth is toying.,6.881517,8.527987,-3
10 human children demonstrates a guitar to a human child.,6.398729,12.19102,2
A woman was acting.,6.491951,9.477167,2
A human baby is buying a transit system.,5.64352,10.330273,-2
A woman will be breaking.,6.454217,8.270301,2
A deity irrigates the fertile terrain.,6.434604,12.902519,1
A hospital chapel will be wetting 7.6460 cups of freshwater to 9 Aegilops Tauschiis.,5.528435,11.379148,-3
8 men won't vote.,6.543976,8.491366,2
A tiger will be rendering a JOPES manual into a tai kadai language.,6.34699,12.365627,-3
A deity fished seven tunas.,6.849854,10.087976,1
A human youth befriended a teenager.,5.460423,10.381987,2
A human adult will compare a military squad.,7.070772,10.846277,2
A communist party will not mail a letter.,5.583906,12.17465,2
A human baby was evincing a subjective emotional feeling to a human baby.,4.891751,9.437855,1
Six human adults weren't paying a teenager.,6.685111,8.963557,2
A human child won't be soldering some steel.,6.157276,9.336693,2
A japanese encephalitis virus killed a leech.,4.437292,9.665941,1
A teenager will be shouting.,6.791002,8.763175,2
A human youth is comparing a mortar platoon.,6.389983,11.597451,2
8 brucella bacteriums will uncover an extended fishing zone.,6.744733,12.044343,-1
An Independent church leaves some linguine to some chicken meat.,7.053509,10.88803,-3
A llama doesn't hear a speaking.,6.37929,11.099587,1
A human youth massages a human child.,6.463107,11.797283,2
An angel painted an occipital lobes.,5.552233,8.280557,1
A woman is shooting a m240.,6.194419,9.658146,2
A MRSA has not pressed a greater palatine artery.,5.826728,12.784983,-1
A consulate general will be selling an art work a house church.,6.038275,10.345809,-3
9 reptiles tramp some V series nerve agent to four submental deep branch arterys.,7.462529,11.128017,-3
A human baby combines with a bladder.,6.456758,10.215411,-1
A girl waters the fertile terrain.,6.796633,9.563009,2
A human adult reproduces 6 kentia palm seeds.,5.572209,10.1482,-1
A man doesn't divulge a right marginal artery to a posterior division iliac artery.,5.642258,12.660788,-1
A lobster will be determining from a museum.,6.710143,11.430847,-1
A pea was firing.,7.752102,11.923179,-3
A deity will perform.,7.350497,6.804146,1
A teenager doesn't direct a toy house to a coral reef.,5.455196,10.259279,1
A grasshopper punched 3 monocytes.,5.910601,12.148959,-2
A human adult will judge a question.,6.355382,8.325897,2
A deity has not peeled 4 eyelids from a mule.,5.531042,12.902519,1
A caterpillar will comprehend a courtyard.,6.54925,11.92886,-2
A woman will be producing a la crosse virus to nine human youths.,6.212174,11.241096,1
An ornamental fish dumps some transport protein.,7.328696,12.61649,1
Three men won't paint a knock light.,7.312771,12.482637,1
A musculo articular branch artery contracts some abalone.,6.898152,10.161022,-1
An irrigation channel is closing.,6.090039,9.481588,2
An amphibian was eating some Baileys.,5.215748,9.990803,1
A horse excretes some urine from a palm bone.,5.44815,10.149952,-3
Two clovers are not stretching.,6.474133,11.618108,1
A teenager doesn't pestle 12.73 ton masss of beryllium.,5.751517,9.311785,1
A LabCorp will not be extending.,6.564546,10.039557,-3
A man doesn't paint a directional control valve.,6.298492,10.593733,2
A left ulna wasn't closing.,7.04763,11.116346,2
A teenager will not express a subjective emotional feeling to a girl.,5.330821,8.070199,2
A hospital chapel sold two radial recurrent arterys an amphibious reconnaissance unit.,7.817359,15.242464,-3
A human baby was understanding a passport.,7.212629,12.109442,1
A human child will be questioning a girl.,6.103222,8.325897,2
Catherine will be downloading a JPG file.,5.098945,9.612463,2
An angel reproduces a steppe.,5.780443,9.639793,1
A human child was not slicing a communist party with a paper shredder.,5.578332,13.315845,-1
A girl lubricates a left tibia.,5.615719,9.728809,2
A human child directed an american city to an aquatic mammal.,5.755573,9.868214,-3
Some ground water cuts some brackish water.,5.300617,9.587658,-1
A salvation army mission shares a right distal phalanx I bone a maple tree.,5.906545,13.264457,-3
A human child will perform.,6.79841,7.903652,2
An antelope was visitting a leg to four legionellas.,7.087462,11.415894,-3
An anchor will be concealing a clinic.,6.260431,12.886781,1
A boy was choosing a question.,6.002963,8.370236,2
Four human youths will not perform.,7.377593,8.577231,2
An agency ascertains from a school.,5.566419,7.640059,1
2 human youths will be voting.,7.171719,10.551282,2
A human baby was reproducing a left maxilla bone.,5.668832,9.795102,-1
A company- military found from a medical school.,7.177035,10.936271,-3
A human child will be watering the fertile terrain.,6.518249,9.347681,2
A boy will not watch at a right proximal foot phalanx IV bone.,5.707152,11.117322,1
A human youth waves with a hand.,6.762358,11.372864,2
A kitten was rendering an american express card into a mandan group language.,6.63945,10.830993,-1
A Javelin anti-tank missile has not turned.,5.027116,8.743883,1
10 boys were not judging a question.,7.31373,12.12468,2
A switch device roughens a right true rib 7 bone.,7.620179,13.243641,-2
An Apostolic church famishes a poultry.,7.849131,14.030668,1
Grace is placing a coin.,6.754394,10.453485,2
A ship berth starves a donkey.,6.089538,9.98839,-2
A man is borrowing an angel.,5.950966,9.362991,2
A deer is losing an ocean liner.,6.208578,9.928357,-1
A Baptist union of wales translated a pass certificate into a birds head language.,6.758576,11.225957,-3
7 human youths has not interviewed a teenager.,7.711484,10.957922,2
A warm blooded vertebrate has not swops a bladder with a recording company.,5.818216,12.545096,-3
A human adult paints an Elim pentecostal church.,6.054939,13.152945,2
An octopus will not be releasing a United free church of Scotland.,5.970087,11.774231,-1
8 human children raises.,8.882185,11.074199,1
A boy loans an organizational board to an angel.,6.194127,12.592898,1
An afferent arteriole was precipitating a forty foot standard container a petroleum tanker ship.,5.835659,10.869555,-3
Five variola minors weren't attacking.,8.329186,11.760207,1
A human child binds 4.377 amus of polonium to a central retinal artery.,5.33443,11.248922,1
Nine human babys are seating a teenager to a a chair.,7.227759,12.764425,1
A human youth questioned a girl.,6.639805,10.37265,2
An angel sung a musical composition with a speaking in a disturbed fashion.,5.863705,11.146035,1
A human baby will be helping an angel.,6.098871,8.325897,-1
A human adult specifies a nonprofit organization to accomplish an IT process.,6.170549,11.991991,2
A teenager has not understood a canadian dollar coin.,6.310078,8.62505,1
A human adult is breaking an apartment building to an investing.,6.695091,11.363424,1
A girl dodges some pine wood.,6.255389,7.939543,2
A hepatitis virus affixs ten interlobar arterys.,6.659405,10.407377,1
A boy is playing.,4.830717,5.95797,2
An insect refinances a secured loan.,6.496113,11.285098,-2
A human youth will be pointing an anterior spinal artery with a wet bar.,6.296857,11.797283,1
A human adult was determining a question.,6.582414,8.325897,2
A girl is inheritting some tequila.,6.170735,11.061943,2
Three human babys were vandalizing a rickettsia rickettsii.,5.068932,9.988773,-1
Some wheat flour ferments.,6.67824,11.393386,2
Six human adults will be voting.,6.621984,8.963557,2
Two teenagers were soldering some brass.,6.314553,7.847475,2
8 human adults buy a house.,6.09474,8.608306,2
An angel will be disbursing a boy.,5.318922,10.393925,-1
A human child was massaging a man.,5.487261,8.325897,2
An ornamental fish will eat some palm oil.,5.702792,8.286722,2
A lion was killing a grasshopper.,4.332755,8.570319,2
A house church protects a Shaftesbury society.,6.784504,11.948392,1
6.06 ounces of ground water was reducing some tear.,6.693334,11.360765,-1
Some pancake ferments.,6.754275,12.99639,2
Some maple wood will frost.,7.536035,11.530526,2
A rat kicked a musical group with a foot.,6.13496,10.885339,1
A guernsey cattle was respiring some greenhouse gas.,6.210582,11.508028,2
A human adult is reading a a ticket.,6.282151,10.043562,2
A tuna is protecting a tennis court.,6.125384,12.453738,-1
A water buffalo will be smelling with a nose.,5.387808,8.022398,2
A human baby is impersonating.,6.735394,8.325897,2
A mouse is not chewing.,6.1484,9.878368,2
A cold blooded vertebrate sprays 12.4410 ounces of patron tequilla.,5.520342,13.902499,1
A domestic dog will be smelling with a nose.,5.164449,9.590354,2
An anaconda is comprehending a mast.,6.043487,10.570353,1
A teenager wasn't pointing a right III metacarpal with a hand.,5.546266,12.45375,1
Six human youths are binding an Evangelical church to some hydrocarbon.,6.713898,11.598623,-3
A rewritable data storage radiates a forty foot high cube container a tug boat.,6.473478,14.272863,-1
A woman pours 3.609 pints of beer into a forty foot half height container.,4.837665,10.25757,2
A rickettsia rickettsii will be eating some mollusk.,4.27829,9.366667,-1
A hominid ducked to avoid a a telephone handset.,5.388958,10.185778,2
Zero boys doesn't process a mass airflow sensor.,7.210041,10.702309,1
An airbag wasn't inflating with some greenhouse gas.,5.201558,8.65186,1
A human baby is strangling 4 human adults.,5.085075,8.325897,2
A human baby doesn't look for a a national government.,5.323611,9.207756,2
An overseas area visits a political pressure group to a rickettsia prowazekii.,5.31822,10.003169,-2
Three boys doesn't break a security to a measuring surface wind speed list.,7.205027,11.838784,-1
A mule comprehends a golf maneuver.,6.664871,12.526319,1
A Cypress tree will not kill a poultry.,5.753784,10.74629,2
A sea port was losing a hydrometer.,5.861967,11.604465,2
Some iceberg is vaporising into a glacier.,6.262608,10.34845,1
A crocodile ate some semi firm cheese.,5.912554,10.497461,2
A human child is not pressing a nipah virus.,6.313834,12.647126,1
Victoria is paying an angel.,7.012934,10.223991,1
A land mine has not fired.,5.710817,8.714561,2
A human baby combined with a fixed bridge.,6.089975,11.77798,-2
A venezuelan equine encephalitis infects a queen insect.,4.037355,10.667564,1
A human adult was guiding a deity.,6.871707,11.819839,1
An angel doesn't sing a song with a speaking a long utterance.,4.830467,9.761821,1
A human youth seeks for a a water ski.,6.828293,9.308433,1
A woman plans a rowing.,6.078873,9.525708,1
A man is not assisting a deity.,6.185802,11.801647,1
A human child will be fishing a skate.,6.408286,9.862309,1
An ornamental fish sprayed some sake.,7.172507,11.445086,-1
A boy will be storing a nuclear weapon production facility.,5.733137,13.387347,-1
A human adult doesn't raise.,6.649452,8.325897,-3
A boy isn't pressing some soup stock.,7.365893,10.848834,2
A ferret was dumping a gastro-intestinal tract.,5.42835,13.421062,1
A fish buries.,6.165368,8.590038,2
Seven boys were not comparing an inland water system.,7.10713,11.516998,2
An angel presented a bond.,6.710502,9.41236,2
4 boys sculpt a sculpture.,7.039209,10.096257,2
A teenager is buying a printed sheet.,5.836863,9.473986,2
Five girls are combining with a radiological weapon.,6.346162,11.81641,2
A boy is breaking.,6.368375,7.969146,1
A human baby will beckon with a hand.,5.189073,8.325897,2
A corynebacterium diphtheriae loses a external gear.,4.468988,13.476247,1
An airbag inflates with 7.64 feus of greenhouse gas.,5.177278,12.422406,2
A teenager was befriending a human baby.,4.868151,8.268583,2
A boy is not painting some tantalum.,6.6991,12.216202,2
Zero herpesB viruss were selecting a tibia.,8.637219,13.855566,1
Some wood alcohol won't be poisonning an ape.,6.754965,9.972322,2
An electrical transformer isn't compacting a spring.,6.164873,9.965148,2
A boy will be lending a self-service laundry to a human baby.,5.31345,10.055362,2
10 invertebrates will not pull a piston.,5.883732,9.665149,2
4 teenagers will be placing an united states dollar bill.,6.465311,10.537609,2
A crustacean will consume some sauce.,5.750554,11.817321,2
A human baby will be advertizing a wireless internet to a human adult.,5.305361,8.852385,2
A girl produces an alfalfa plant.,5.374211,11.647917,2
A woman recalls a multipole.,7.239015,8.935578,2
A human adult will be injecting 20 grams of opium into a worm.,4.558489,9.106423,2
A girl runs a human youth.,6.929721,8.014404,1
A human adult planned a sublimation.,5.989253,8.775666,1
A girl was seating five human youths to a an auditorium seat.,6.566938,11.239265,2
A mule was spraying some rum.,6.454562,10.491467,2
A teenager assails.,7.73588,8.9782,2
Eight girls communicates with a human baby.,7.034038,9.895968,2
A teenager will be inheritting a right fibula.,6.05103,12.225238,2
A tropical cyclonic system was damaging a sphenoid bone.,5.2173,9.540464,2
A woman mails a letter.,4.908959,5.834043,2
A cod is converting some initiator protein for an electrocardiogram.,6.104932,13.990541,2
An organization of nations reveals some Inderal.,6.743016,10.591726,1
A woman was stealing a dining room from an Independent Methodist church.,4.924145,10.185205,2
An optical device doesn't melt.,5.987838,8.953308,1
A girl was calling a girl a corded telephone.,5.336082,8.900271,1
A bumble bee will be unveiling 9 insects.,5.531884,8.749979,2
Who observed 16.14 pound masss of rhodium?,6.077191,11.633153,2
Ten men will be voting.,6.044315,9.280792,2
An angel is lending a vehicle controller to a deity.,6.001869,11.371186,2
A woman dredges a river mouth.,5.255989,7.565859,2
An animal shares a private railcar a sorghum grass.,6.335895,11.818178,1
A boy dishonours 3 human youths.,6.371573,12.080969,2
A differential hides a communication radio.,7.645829,10.92498,2
0 men get from a tap a teenager.,7.261882,10.585076,-3
A girl solders some steel.,6.045839,8.161546,2
A woman doesn't detect an occupational role.,6.16733,9.562816,2
A human baby will be driving a mini cooper.,5.26578,8.325897,-1
Some coffee grind works.,8.2083,9.71766,2
A human child was sending a crane ship to a documentary.,6.002167,11.993538,1
A water buffalo will be adding a global cross_functional team.,6.789039,10.699089,1
A woman will be painting a left colic artery.,5.550954,10.100278,2
A deity commits an euro cent coin.,7.792253,12.902519,1
A millet grass empties some urine from a perineal artery.,5.950964,14.597055,1
A Poplar tree will be starving a deer.,5.960702,10.501358,1
A clothes washing machine will not be smoothenning a left stapes bone.,6.312799,12.034221,1
A human youth befriended a boy.,5.302633,10.381987,2
A sports team has not roughened some special purpose protein.,6.636533,9.132272,1
A human youth won't promote some coal to a human child.,5.960381,11.036638,1
A boy was communicating with a human baby.,5.083316,7.969146,2
A man is painting an air intake.,5.443845,6.859643,2
A girl was analyzing a bleeder valve.,5.931386,11.619991,2
6 women doesn't write a shawiya language.,7.166397,11.986259,1
A human youth won't be spraying some Vietnamese coffee.,7.047919,11.797283,1
A human baby is reproducing 10 mylohyoid branch arterys.,5.289802,11.701319,1
A mollusk will be determining.,6.520392,11.127429,1
A sheep was plugging a barley grass.,5.97754,9.365438,1
An Anglican church was famishing a domestic cat.,5.828513,9.82258,1
A holster dissevers from a zucchini.,7.004871,12.367451,1
A funeral arranger was refinancing a day loan.,5.132474,9.55456,2
A bowling shoe doesn't radiate a communication device a putting green.,5.786835,11.855968,1
A man stole a crustacean from a dramatic cast.,5.205121,11.580635,1
Some nutmeg works.,6.766147,7.650125,2
A human youth will be demonstrating three wine grapes to an angel.,6.188543,11.47325,1
5 cubs were kicking some pseudoephedrine with a foot.,6.367427,12.931368,1
An eutelsat will fire.,5.958102,6.797396,1
An age group will not famish a bee.,6.871063,10.529539,1
A human youth was submitting a stream water area to a woman.,6.310931,11.797283,1
Ten girls doesn't paint some Cedar wood.,8.369986,14.255991,1
A teenager shoots some Inderal into zero reindeers.,6.691495,13.077795,1
A human baby doesn't toy.,6.598397,8.325897,1
A man irons a vehicle registration.,5.655147,11.305471,1
A human youth will ravish a human adult.,5.226335,11.413061,2
A boy bears 6 maple trees.,6.051891,10.460651,-1
Nine fishes were kicking a cheetah with a foot.,5.855323,11.850437,-2
An invertebrate was not adding a kidney.,5.496573,8.902055,1
A girl decided a question.,6.647882,7.939544,2
An interosseous recurrent artery was turning.,5.81888,9.365314,-2
An intestinimonas will release a Ford car.,7.534319,13.000643,-2
A human baby is choreographing a vehicular pollution.,6.04412,14.984456,-2
A human child will compare a Methodist church in Ireland.,6.690484,9.813662,-3
4.84 cubic foots of industrial alcohol poisons a mammal.,5.651394,10.702419,2
A bee empties some feces from a clavicular artery.,5.066145,10.597803,-1
Ten human babys drives a motor scooter.,8.014359,14.526764,-1
A material handling equipment was smoothing a human youth.,7.094709,13.03523,-1
2 human children will plan a tsunami.,7.368524,10.675779,-1
A teenager was singing a song with a disgusted voice utterance.,5.018706,11.032932,2
A human child has not transformed a multipole quantity.,6.708741,11.290092,1
Some industrial alcohol poisons an unenveloped virus.,5.598288,9.434095,1
A vertebral artery will roughen seven clostridium perfringenss.,4.82377,12.2113,-1
An airbag will inflate with some greenhouse gas.,5.22412,6.373613,1
An angel is understanding a chairman instruction.,7.002898,11.051535,1
A deity is canvassing a volcanic mountain.,6.371859,12.902519,2
An angel will be breaking.,6.49537,8.00248,2
A girl fried some latte.,7.019823,10.011301,-1
A woman detects some semi skimmed milk.,6.174436,11.964873,2
A human youth interviewed a human baby.,6.578483,11.408215,2
A boy was not analysing a lateral plantar artery.,5.033568,10.842566,2
An ecumenical project is assailing.,5.857474,10.716433,-1
A July decreased.,9.474476,10.704172,-2
Seven united states ten cent coins will not be roughenning a mouse.,6.901087,11.164055,-2
Ida was borrowing an angel.,6.568001,9.722187,-1
Nine teenagers were pestling a grecian tub.,7.17965,10.854172,1
A human adult ideated a frisian language.,6.204311,10.101955,2
A girl will study a queen insect.,6.325892,9.060289,2
A teenager is reading a a message.,6.031226,10.202394,2
A man is locating some instant coffee.,5.830731,10.935274,2
A mollusk was revealing some Valium.,6.753455,12.707088,-1
A human child interviews a human baby.,5.759774,8.325897,2
Some snow is freezing.,6.761975,8.634877,2
Four ornamental fishes breathes 1.8 cups of greenhouse gas.,5.585398,11.454978,-1
A girl buys a freight car.,5.741096,8.229699,2
A cuboid bone smooths some Hartmann's solution.,6.126573,12.359903,-3
A fish plugs 2.8 pound masss of carbon.,6.125715,10.766023,-1
A deity will be bombing.,7.525419,12.902519,-2
A constrictor snake will not be seeing at 17.98 long tons of mycotoxin.,4.744209,8.928156,-3
A woman won't be placing eight united states cent coins.,6.335343,11.660003,2
Dalton wasn't reproducing a car alarm.,5.742172,10.780462,2
9 human youths searched for a a go game.,7.395621,10.948231,2
Some iceberg evaporates into a salt lake.,5.805367,11.472264,2
A human youth fishes 9 ornamental fishes.,6.529995,11.797283,2
A man controls Corinne.,7.095421,9.376322,2
A human adult will be breaking a public garden to five dachshunds.,5.760688,10.466839,-1
A woman will be expressing a subjective emotional feeling to a human baby.,5.004955,8.122038,2
A teenager doesn't plant a cabbage plant.,5.475223,9.310434,2
9 labyrinthine arterys financed a racquetball court a prokaryotic cell.,5.639592,14.677065,-3
A human adult will be ironning a hijab.,6.456096,12.085161,2
A human baby is frying some mollusk.,6.267302,11.899967,1
3 sabia viruss shares a pinsemenighet a guernsey cattle.,7.415231,11.838583,-3
A man is transforming a nonnegative real number.,5.247698,9.555716,2
A political party loses a grenade launcher.,5.932729,8.522514,2
A human youth took a boat seat to an ovum.,5.906581,9.803609,-1
4 human adults won't be subjecting a BBB to a human adult.,5.409696,11.406425,-1
Six domestic animals added a superior pancreaticoduodenal artery.,6.505946,11.582981,-2
A hip joint matches a foot a gas pedal.,6.512753,11.816707,-3
A man will not be tasting 2.59 teus of aperitif.,5.319295,11.264152,2
Four teenagers raises.,9.743905,8.844721,-3
4 girls will perform.,6.731953,7.560915,2
A bottle will smooth a watercolor picture.,6.235183,9.13815,2
A domestic animal nodded a head.,6.748144,9.590355,2
10 women were vandalising an airbag.,6.460415,9.219912,2
8 teenagers toy.,10.432763,11.030297,-3
A percussion instrument has not constricted a twenty foot half height container.,6.471241,12.020895,2
A boy will produce an artifact mediated communication to a man.,5.963282,10.144777,1
A deity doesn't produce a teenager.,6.184358,10.301744,-2
9 boys will smoke a cigar or cigarette.,5.647289,10.840687,2
A boy isn't massaging zero human children.,7.217828,13.297319,1
A human baby finds a shooting angle.,6.525251,8.680779,-1
A fall season fortifies.,6.911374,9.6596,-1
A bakery will wet some hailstone to an ignition coil.,6.971581,12.952132,2
A boy will be reading a 6 news feeds.,5.464978,9.77083,2
A woman will write 2 portraits.,5.91611,8.149962,1
A man examines an internet.,6.465989,9.11732,2
A man vandalizes a touch screen.,5.2199,10.609114,2
A man has not sliced some fentanil with a saw.,5.269774,8.252851,2
An anaerobic exercise device will be roughenning a Seagull outboard.,5.617128,11.927994,-1
A moveable holiday was strengthenning.,7.101202,9.583979,-2
A human youth is sitting a woman to a a booster chair.,6.126565,11.797283,-3
An alligator smells with a nose.,5.157356,6.373613,2
2 rodents charged.,9.382441,8.535686,2
A man has not got from nine proprietary identifiers a teenager.,7.549553,11.897178,-2
A boy will be observing a hotel room attribute.,6.105167,10.980007,2
7 women will not communicate with a human baby.,6.077787,9.396226,2
A girl will be inheritting 4 cups of sewage.,6.071848,11.739679,1
An ethnic group penalized a Birch tree.,6.677831,13.849913,1
An Aegilops Tauschii will exchange a key for a bowling shoe.,4.458719,10.797723,-2
A deity designed 14.4152 liquor shots of gas mixture.,7.307145,12.902519,1
A girl judges a question.,6.478693,9.019901,2
A microscope will hide a knucklehead.,5.905032,10.332857,-1
