sentence,n_tokens,avg_nll,p95,p99,max_surp,spike_frac_35,spike_frac_50,run_norm_35,uniq_token_ratio,rep_1gram,rep_2gram,top1_prob_mean,top1_minus_true_mean,punct_ratio,digit_ratio,upper_ratio,paren_imbalance_abs,bracket_imbalance_abs,human_label
A human adult was befriending 6 women.,11,5.334234,8.328125,8.328125,11.492188,0.727273,0.454545,0.454545,1,0,0,0.319824,0.220703,0.026316,0.026316,0.026316,0,0,3
A bordetella pertussis won't pull some boulder.,14,5.165798,13.140625,13.140625,13.304688,0.642857,0.5,0.357143,1,0,0,0.360107,0.111023,0.042553,0,0.021277,0,0,-2
An angel will be awarding a currency bill.,10,6.839529,13.59375,13.59375,16.75,0.7,0.7,0.3,1,0,0,0.407715,0.207886,0.02381,0,0.02381,0,0,3
A virus eliminates some urine from a hyoid artery.,11,6.302379,10.03125,10.03125,13.039062,0.727273,0.454545,0.454545,1,0,0,0.218506,0.187012,0.02,0,0.02,0,0,1
A woman has not shot an automatic gun.,9,5.035807,7.644531,7.644531,8.234375,0.666667,0.444444,0.444444,1,0,0,0.294189,0.271484,0.026316,0,0.026316,0,0,3
A human baby was not granting a death certificate.,10,5.798242,8.328125,8.328125,14.5,0.6,0.5,0.3,1,0,0,0.227539,0.204224,0.02,0,0.02,0,0,1
Six reindeers ducked to avoid a a button.,12,5.801706,12.0625,12.0625,12.648438,0.583333,0.416667,0.25,0.916667,0.090909,0,0.294678,0.141479,0.02439,0,0.02439,0,0,1
An egg yolk will dissever from some adrenaline.,11,6.240079,12.085938,12.085938,14.6875,0.727273,0.545455,0.272727,1,0,0,0.310059,0.207397,0.021277,0,0.021277,0,0,-3
A human baby dumps a below the line.,9,6.703668,12.09375,12.09375,14.125,0.777778,0.555556,0.444444,1,0,0,0.144287,0.109924,0.027778,0,0.027778,0,0,-2
A girl doesn't iron an offshore well production ship.,11,7.021307,12.242188,12.242188,13.859375,0.818182,0.727273,0.545455,1,0,0,0.223633,0.178101,0.037736,0,0.018868,0,0,-1
0 human youths will read a a british pound coin.,11,7.582031,11.757812,11.757812,11.921875,0.909091,0.727273,0.909091,0.909091,0.1,0,0.185181,0.178223,0.020833,0.020833,0,0,0,1
2 girls will xerox a two dimensional object.,10,6.051563,8.820312,8.820312,12.296875,0.7,0.6,0.5,1,0,0,0.188965,0.165405,0.022727,0.022727,0,0,0,3
A man plugs a worker insect.,7,7.041434,10.773438,10.773438,12.367188,0.857143,0.571429,0.428571,1,0,0,0.224121,0.189575,0.035714,0,0.035714,0,0,-1
A deity will impersonate.,6,6.936991,10.179688,10.179688,12.898438,0.833333,0.666667,0.666667,1,0,0,0.33667,0.173096,0.04,0,0.04,0,0,1
A woman looks for a some bauxite.,10,5.275254,7.71875,7.71875,11.992188,0.8,0.6,0.4,1,0,0,0.275391,0.150391,0.030303,0,0.030303,0,0,3
A rattlesnake kills.,7,4.531931,7.84375,7.84375,11.835938,0.571429,0.428571,0.285714,1,0,0,0.498535,0.152466,0.05,0,0.05,0,0,1
5 men caught some riboflavin.,9,6.010909,8.960938,8.960938,13.296875,0.777778,0.666667,0.666667,1,0,0,0.336182,0.112366,0.034483,0.034483,0,0,0,1
An alligator is imbibing some processed milk.,11,5.297485,10.570312,10.570312,11.203125,0.636364,0.545455,0.272727,1,0,0,0.231079,0.134155,0.022222,0,0.022222,0,0,1
Six men conveyed a diode to a left humerus.,12,6.074056,11.179688,11.179688,14.304688,0.583333,0.5,0.25,0.916667,0,0,0.186035,0.100159,0.023256,0,0.023256,0,0,1
An automated notification system constricts a permanent magnet dc motor.,13,5.474121,10.007812,10.007812,10.632812,0.692308,0.615385,0.307692,1,0,0,0.30127,0.159058,0.013889,0,0.013889,0,0,-3
A dachshund is kicking a L1 vertebra bone with a foot.,17,4.61266,9.757812,9.757812,12.15625,0.529412,0.411765,0.176471,0.941176,0,0,0.355713,0.136719,0.018519,0.018519,0.037037,0,0,1
A human baby is injecting some histone into a poodle.,13,5.282151,9.710938,9.710938,13.070312,0.538462,0.461538,0.230769,1,0,0,0.258301,0.189941,0.018868,0,0.018868,0,0,-2
A boy doesn't find a heart palpitations.,10,5.18291,7.96875,7.96875,10.242188,0.6,0.5,0.3,1,0,0,0.235596,0.172363,0.05,0,0.025,0,0,1
A teenager bound a die to a medulla.,10,6.548145,10.25,10.25,10.929688,0.8,0.6,0.5,0.9,0,0,0.333008,0.289795,0.027778,0,0.027778,0,0,1
A deity isn't lending a seat belt to 7 women.,13,6.207219,12.898438,12.898438,13.289062,0.692308,0.538462,0.230769,1,0,0,0.24585,0.169434,0.044444,0.022222,0.022222,0,0,1
A human child shoots some receptor protein into a warm blooded vertebrate.,15,5.495068,10.921875,10.921875,17.625,0.6,0.4,0.466667,1,0,0,0.294922,0.127075,0.013514,0,0.013514,0,0,1
A conifers will be hiding a TV.,9,6.381944,10.492188,10.492188,10.65625,0.777778,0.555556,0.444444,1,0,0,0.131958,0.106079,0.032258,0,0.096774,0,0,-2
A kangaroo sprays some schnapps.,9,5.437527,11.773438,11.773438,12.390625,0.666667,0.444444,0.222222,1,0,0,0.378418,0.170288,0.03125,0,0.03125,0,0,1
Some tissue is compounding with a right atrium.,11,5.425781,11.664062,11.664062,13.109375,0.454545,0.363636,0.181818,1,0,0,0.187134,0.130493,0.021277,0,0.021277,0,0,1
A girl canvass some tapioca starch.,9,6.305973,12.648438,12.648438,13.601562,0.666667,0.444444,0.333333,1,0,0,0.291992,0.174072,0.028571,0,0.028571,0,0,1
A political coalition doesn't attack.,7,6.771484,10.046875,10.046875,10.640625,0.857143,0.714286,0.571429,1,0,0,0.259521,0.217285,0.054054,0,0.027027,0,0,3
0.416 liquor shots of wood alcohol won't be poisonning a vaccinia virus.,18,6.358154,11.28125,11.28125,14.84375,0.722222,0.555556,0.333333,0.944444,0,0,0.246094,0.153076,0.041667,0.055556,0,0,0,1
A teenager will be vandalising some firm cheese.,10,6.566602,11.304688,11.304688,12.789062,0.8,0.6,0.4,1,0,0,0.266846,0.216553,0.020833,0,0.020833,0,0,1
Five boys are borrowing null.,6,8.800456,11.726562,11.726562,16.65625,0.833333,0.666667,0.5,1,0,0,0.172119,0.163086,0.034483,0,0.034483,0,0,-3
Nine crustaceans punches an anti-vaxxer.,12,5.635193,14.976562,14.976562,17.609375,0.583333,0.416667,0.333333,1,0,0,0.347656,0.106323,0.05,0,0.025,0,0,1
8 salmonella partyphis lost an anaconda.,10,8.489648,13.6875,13.6875,16.265625,0.7,0.7,0.5,1,0,0,0.216309,0.201538,0.025,0.025,0,0,0,-1
A human adult is paying a deity.,8,6.498535,11.03125,11.03125,12.398438,0.625,0.5,0.375,1,0,0,0.125244,0.099976,0.03125,0,0.03125,0,0,1
A speedometer made.,5,6.721094,9.015625,9.015625,10.195312,0.8,0.6,0.4,1,0,0,0.236938,0.220459,0.052632,0,0.052632,0,0,-1
A human child has not took a sludge disposal vessel.,12,6.461344,10.578125,10.578125,11.984375,0.75,0.666667,0.333333,1,0,0,0.20459,0.177124,0.019231,0,0.019231,0,0,1
A teenager will ideate an altimeter.,9,6.77691,9.90625,9.90625,18.59375,0.888889,0.444444,0.444444,1,0,0,0.195435,0.155396,0.027778,0,0.027778,0,0,2
A human child smoked a cigar or cigarette.,9,5.326823,8.328125,8.328125,13.34375,0.555556,0.444444,0.444444,1,0,0,0.32251,0.223633,0.02381,0,0.02381,0,0,2
3 antelopes will kick an air launch missile with a foot.,14,5.692241,9.40625,9.40625,11.625,0.785714,0.642857,0.5,1,0,0,0.248535,0.150024,0.017857,0.017857,0,0,0,1
A coral drinks some lungo.,7,8.292132,11.421875,11.421875,15.515625,0.857143,0.714286,0.857143,1,0,0,0.223999,0.214844,0.038462,0,0.038462,0,0,-2
3 rodents will be seeing some food.,8,6.893799,9.445312,9.445312,14.335938,0.875,0.625,0.5,1,0,0,0.164673,0.114441,0.028571,0.028571,0,0,0,2
A deity borrowed null.,5,9.932813,12.898438,12.898438,16.96875,1,0.8,1,1,0,0,0.282227,0.279053,0.045455,0,0.045455,0,0,-3
Some steam boils.,4,8.25293,10.085938,10.085938,11.125,1,0.75,1,1,0,0,0.177734,0.173706,0.058824,0,0.058824,0,0,2
2 human children doesn't interview a human child.,10,6.394678,12.65625,12.65625,13.554688,0.6,0.5,0.4,0.9,0,0,0.184204,0.085571,0.040816,0.020408,0,0,0,1
An arthropod is ducking to avoid a a valve.,13,5.340649,13.125,13.125,17.453125,0.538462,0.384615,0.230769,0.923077,0.083333,0,0.258545,0.088135,0.023256,0,0.023256,0,0,1
A man was massaging a human child.,9,5.513238,8.632812,8.632812,14.492188,0.555556,0.444444,0.222222,1,0,0,0.21875,0.157593,0.029412,0,0.029412,0,0,2
A mouse will be finding from a school.,9,6.118924,9.710938,9.710938,9.875,0.777778,0.555556,0.333333,1,0,0,0.136475,0.105103,0.026316,0,0.026316,0,0,1
A human child grows a tea tree.,8,5.967041,8.328125,8.328125,11.4375,0.875,0.625,0.75,1,0,0,0.22998,0.210449,0.032258,0,0.032258,0,0,2
A human youth will be posting some immunosuppressive to a hijab.,16,5.75708,11.890625,11.890625,15.015625,0.6875,0.4375,0.25,1,0,0,0.220093,0.105103,0.015625,0,0.015625,0,0,-1
0 fishes has not nodded a head.,8,7.850098,12.507812,12.507812,15.59375,0.75,0.625,0.625,1,0,0,0.200928,0.188965,0.032258,0.032258,0,0,0,-2
A shea nut will be working.,8,6.10376,9.953125,9.953125,11.445312,0.75,0.625,0.375,1,0,0,0.233032,0.211792,0.037037,0,0.037037,0,0,-2
A crustacean drinks some processed gaot milk.,11,7.605078,13.765625,13.765625,14.84375,0.727273,0.636364,0.545455,1,0,0,0.317871,0.206055,0.022222,0,0.022222,0,0,1
A carburetor isn't radiating a L1 vertebra bone a shea nut.,19,6.032908,12.570312,12.570312,14.945312,0.631579,0.526316,0.421053,0.947368,0,0,0.295166,0.176147,0.033898,0.016949,0.033898,0,0,-1
Two boys were generating a rope.,7,6.147879,8.257812,8.257812,12.9375,0.571429,0.571429,0.285714,1,0,0,0.142456,0.108582,0.03125,0,0.03125,0,0,1
A human child helped a girl.,7,6.43471,8.328125,8.328125,10.226562,0.857143,0.714286,0.571429,1,0,0,0.146606,0.133423,0.035714,0,0.035714,0,0,2
A senepol cattle will punch a petroleum product pipeline.,12,6.517741,13.242188,13.242188,13.921875,0.75,0.5,0.25,1,0,0,0.243408,0.174927,0.017544,0,0.017544,0,0,1
A pottery chills some poultry.,7,8.220703,11.398438,11.398438,12.8125,1,0.714286,1,1,0,0,0.174805,0.168701,0.033333,0,0.033333,0,0,-2
A human child tastes some sunflower oil.,9,5.847493,8.578125,8.578125,11.429688,0.777778,0.444444,0.666667,1,0,0,0.287842,0.224487,0.025,0,0.025,0,0,2
A veil doesn't conceal an Aspen tree.,9,6.129123,11.5625,11.5625,13.03125,0.777778,0.555556,0.444444,1,0,0,0.289062,0.240967,0.054054,0,0.054054,0,0,2
Zero human youths produces some chocolate.,7,9.8351,11.679688,11.679688,15.367188,1,0.857143,1,1,0,0,0.12854,0.12384,0.02381,0,0.02381,0,0,1
A boy won't be pouring 19 teus of Jamesons whiskey into a forty foot high cube container.,22,5.565252,10.976562,11.484375,13.257812,0.636364,0.454545,0.227273,1,0,0,0.257568,0.191162,0.022472,0.022472,0.022472,0,0,1
A human adult tastes some seafood.,7,6.848493,8.953125,8.953125,10.710938,0.857143,0.714286,0.857143,1,0,0,0.196289,0.182007,0.029412,0,0.029412,0,0,2
A moth is burying.,6,6.35159,11.539062,11.539062,12.203125,0.666667,0.5,0.333333,1,0,0,0.375977,0.192139,0.055556,0,0.055556,0,0,2
Some duck was working.,5,7.975,8.609375,8.609375,11.28125,1,0.8,1,1,0,0,0.180542,0.178711,0.045455,0,0.045455,0,0,1
A herpesB virus wasn't selling a directional control valve a francisella tularensis.,20,5.718972,12.789062,12.789062,12.945312,0.55,0.45,0.25,0.9,0,0,0.326172,0.087769,0.02381,0,0.02381,0,0,-2
A punching is damaging a golf ball.,8,5.752563,10.015625,10.015625,12.992188,0.625,0.5,0.5,1,0,0,0.27417,0.16748,0.028571,0,0.028571,0,0,1
A girl will be wading through an inlet passage.,11,5.048295,8.492188,8.492188,10.398438,0.636364,0.454545,0.272727,1,0,0,0.234619,0.15979,0.021277,0,0.021277,0,0,2
A human child will befriend a human youth.,10,5.14248,8.242188,8.242188,8.328125,0.7,0.5,0.4,0.9,0,0,0.243896,0.185425,0.02381,0,0.02381,0,0,2
7 girls discovered a shoulder girdle bone to a branch to volar carpal network artery.,20,6.140834,12.148438,12.148438,12.5,0.75,0.6,0.3,0.9,0,0,0.292236,0.154541,0.011765,0.011765,0,0,0,2
Zero human adults will be taking from a violin a human child.,13,6.531588,11.507812,11.507812,11.679688,0.692308,0.538462,0.307692,0.846154,0,0,0.17749,0.130981,0.016393,0,0.016393,0,0,-1
A human child will be xeroxing a two dimensional object.,13,5.205829,8.328125,8.328125,12.132812,0.615385,0.461538,0.307692,1,0,0,0.237549,0.205078,0.017857,0,0.017857,0,0,2
A carnivore kills a tick.,7,5.452427,9.304688,9.304688,11.601562,0.571429,0.428571,0.285714,1,0,0,0.23938,0.119568,0.04,0,0.04,0,0,2
A girl is subjecting four splenic arterys to a woman.,14,5.937953,9.539062,9.539062,14.085938,0.714286,0.571429,0.5,1,0,0,0.284912,0.240479,0.018868,0,0.018868,0,0,-1
A butterfly was seeing a sword.,7,5.886719,9.203125,9.203125,10.078125,0.714286,0.428571,0.571429,1,0,0,0.144287,0.102966,0.032258,0,0.032258,0,0,1
A venezuelan equine encephalitis will not infect an einkorn wheat grass.,20,4.122669,10.804688,10.804688,15.367188,0.45,0.35,0.2,1,0,0,0.497559,0.159546,0.013889,0,0.013889,0,0,1
An angel has not fried some goat meat.,9,6.501302,9.015625,9.015625,13.539062,0.777778,0.666667,0.777778,1,0,0,0.132935,0.111938,0.026316,0,0.026316,0,0,1
A mollusk is inspecting at a superior thoracic artery.,13,5.722084,12.703125,12.703125,15.265625,0.538462,0.384615,0.153846,1,0,0,0.306396,0.14917,0.018519,0,0.018519,0,0,1
A girl will be dodging a skate.,9,5.665673,8.929688,8.929688,13.109375,0.666667,0.555556,0.333333,1,0,0,0.325195,0.167969,0.032258,0,0.032258,0,0,2
An oyster will be watching at a bronchial artery.,13,5.023475,8.273438,8.273438,13.445312,0.538462,0.461538,0.153846,1,0,0,0.204712,0.122192,0.020408,0,0.020408,0,0,-2
A human adult will be sculpting a sculpture.,10,5.189648,8.328125,8.328125,12.84375,0.6,0.3,0.4,1,0,0,0.237793,0.189941,0.022727,0,0.022727,0,0,2
A squirrel will be drinking some tequila.,9,5.427999,9.007812,9.007812,11.375,0.666667,0.444444,0.333333,1,0,0,0.271973,0.148438,0.02439,0,0.02439,0,0,1
A teenager cleans.,4,8.636719,9.992188,9.992188,11.992188,1,0.75,1,1,0,0,0.199585,0.196655,0.055556,0,0.055556,0,0,2
An aquatic mammal will eat some alcoholic beverage.,10,5.493928,9.65625,9.65625,13.335938,0.7,0.5,0.4,1,0,0,0.26709,0.139648,0.019608,0,0.019608,0,0,1
A larch tree is starving an anaconda.,10,5.905273,9.390625,9.390625,13.21875,0.6,0.5,0.3,1,0,0,0.198364,0.149048,0.027027,0,0.027027,0,0,-2
An extracellular enveloped virion vaccinia rendered a birth certificate into a north caucasian language.,21,5.845564,12.257812,12.257812,12.710938,0.619048,0.571429,0.238095,0.952381,0,0,0.343262,0.159058,0.009615,0,0.009615,0,0,-2
A man drives a jet airplane.,7,4.943359,6.925781,6.925781,7.988281,0.714286,0.571429,0.428571,1,0,0,0.2323,0.1698,0.035714,0,0.035714,0,0,2
A girl will be pestling a wagon.,9,6.672635,11.40625,11.40625,13.976562,0.777778,0.555556,0.333333,1,0,0,0.265625,0.212769,0.03125,0,0.03125,0,0,1
3 human youths chokes a man.,8,6.889404,11.195312,11.195312,11.90625,0.75,0.625,0.625,1,0,0,0.199951,0.182373,0.035714,0.035714,0,0,0,1
A care organization will be wetting some brackish water to a museum.,16,5.250282,10.546875,10.546875,14.257812,0.625,0.4375,0.25,1,0,0,0.224731,0.110168,0.014706,0,0.014706,0,0,-1
An egg yolk is suffering a boat seat 2 pituitary glands.,16,5.047838,11.484375,11.484375,11.96875,0.5,0.4375,0.1875,1,0,0,0.307129,0.133545,0.017857,0.017857,0.017857,0,0,-1
Some hailstone was evaporating into a harbor.,10,6.217969,11.570312,11.570312,12.390625,0.7,0.6,0.5,1,0,0,0.240234,0.198853,0.022222,0,0.022222,0,0,1
A lilac was pulling some osmium.,9,6.746853,10.734375,10.734375,11.335938,0.888889,0.666667,0.666667,1,0,0,0.176392,0.141846,0.03125,0,0.03125,0,0,-2
A venezuelan equine encephalitis is infecting a clostridium botulinum.,22,3.190851,10.664062,11.742188,15.367188,0.272727,0.181818,0.090909,1,0,0,0.548828,0.088318,0.014286,0,0.014286,0,0,1
A lent strengthened.,4,9.638672,11.945312,11.945312,15.890625,1,0.75,1,1,0,0,0.376953,0.373535,0.05,0,0.05,0,0,-3
An angel is committing four united states dollar bills.,10,7.08457,12.101562,12.101562,13.125,0.7,0.6,0.3,1,0,0,0.185669,0.161621,0.018182,0,0.018182,0,0,1
A boy forgives a subjective emotional feeling to a teenager.,12,5.69931,11.96875,11.96875,14.90625,0.666667,0.416667,0.333333,0.916667,0,0,0.226929,0.110413,0.016667,0,0.016667,0,0,-3
A human child was paring 10 eyelids from a human youth.,15,5.564258,10.382812,10.382812,11.875,0.666667,0.466667,0.2,0.933333,0,0,0.243408,0.188843,0.018182,0.036364,0.018182,0,0,1
A human youth dodges a lunate bone.,10,6.645557,11.125,11.125,11.796875,0.8,0.6,0.4,1,0,0,0.190918,0.093201,0.028571,0,0.028571,0,0,2
A llama sees a mass airflow sensor.,8,7.520264,12.648438,12.648438,14.382812,0.75,0.625,0.375,1,0,0,0.23584,0.171753,0.028571,0,0.028571,0,0,2
4 girls will be determining.,6,7.478353,10.03125,10.03125,11.703125,0.833333,0.833333,0.5,1,0,0,0.231689,0.174561,0.035714,0.035714,0,0,0,2
A human baby will be binding an electrical plug to a vomer bone.,15,5.57793,12.617188,12.617188,15.65625,0.666667,0.466667,0.266667,1,0,0,0.248901,0.184937,0.015625,0,0.015625,0,0,1
A man is lending some soil solution to a deity.,11,5.843617,11.867188,11.867188,11.984375,0.636364,0.454545,0.363636,1,0,0,0.2771,0.174561,0.021277,0,0.021277,0,0,1
A caterpillar will smell with a nose.,9,5.375163,9.984375,9.984375,11.21875,0.777778,0.444444,0.333333,1,0,0,0.23291,0.161255,0.027027,0,0.027027,0,0,1
A human adult was sculpturing a sculpture.,9,5.831814,8.328125,8.328125,11.554688,0.777778,0.555556,0.666667,1,0,0,0.273193,0.212769,0.02381,0,0.02381,0,0,2
A human baby is transforming an evening.,8,6.833618,8.90625,8.90625,12.523438,0.875,0.75,0.5,1,0,0,0.240601,0.213257,0.025,0,0.025,0,0,2
A human child will determine a question.,8,6.091309,8.328125,8.328125,9.148438,0.875,0.625,0.625,1,0,0,0.15979,0.150146,0.025,0,0.025,0,0,2
A teenager observed 6 PATELLAs.,10,6.535449,10.953125,10.953125,11.257812,0.8,0.6,0.4,1,0,0,0.212646,0.189819,0.032258,0.032258,0.258065,0,0,2
Some signaling protein won't be smoothenning a tagiyyah.,16,6.318695,12.289062,12.289062,13.648438,0.6875,0.5625,0.3125,1,0,0,0.280518,0.13623,0.035714,0,0.017857,0,0,0
A human baby will transform an unit of angular measure.,11,6.252486,9.351562,9.351562,13.21875,0.727273,0.545455,0.636364,1,0,0,0.221191,0.18689,0.018182,0,0.018182,0,0,-1
Gerald doesn't lend a DVD to a human adult.,12,5.902262,10.992188,10.992188,11.078125,0.583333,0.583333,0.25,0.916667,0,0,0.281982,0.203003,0.046512,0,0.093023,0,0,2
A pericardial sac will harm a vertebrate.,12,4.465271,9.5625,9.5625,10.789062,0.583333,0.333333,0.25,1,0,0,0.338623,0.136597,0.02439,0,0.02439,0,0,1
A human youth is toying.,7,6.879464,8.523438,8.523438,11.796875,0.857143,0.714286,0.428571,1,0,0,0.308838,0.293701,0.041667,0,0.041667,0,0,-3
10 human children demonstrates a guitar to a human child.,11,6.399148,12.1875,12.1875,13.1875,0.636364,0.454545,0.363636,0.818182,0,0,0.144165,0.085022,0.017544,0.035088,0,0,0,2
A woman was acting.,5,6.489453,9.476562,9.476562,10.117188,0.8,0.6,0.4,1,0,0,0.171143,0.152344,0.052632,0,0.052632,0,0,2
A human baby is buying a transit system.,9,5.643663,10.335938,10.335938,12.03125,0.555556,0.444444,0.333333,1,0,0,0.226074,0.15918,0.025,0,0.025,0,0,-2
A woman will be breaking.,6,6.452962,8.273438,8.273438,12.351562,0.833333,0.666667,0.5,1,0,0,0.206543,0.153076,0.04,0,0.04,0,0,2
A deity irrigates the fertile terrain.,8,6.432556,12.898438,12.898438,16.46875,0.625,0.5,0.375,1,0,0,0.270996,0.158813,0.026316,0,0.026316,0,0,1
A hospital chapel will be wetting 7.6460 cups of freshwater to 9 Aegilops Tauschiis.,27,5.527358,11.375,11.742188,14.460938,0.703704,0.481481,0.148148,0.925926,0,0,0.323975,0.208008,0.02381,0.071429,0.035714,0,0,-3
8 men won't vote.,6,6.544108,8.484375,8.484375,9.421875,0.833333,0.666667,0.5,1,0,0,0.22998,0.203857,0.117647,0.058824,0,0,0,2
A tiger will be rendering a JOPES manual into a tai kadai language.,17,6.34668,12.359375,12.359375,13.851562,0.647059,0.529412,0.294118,0.941176,0,0,0.128418,0.080261,0.014925,0,0.089552,0,0,-3
A deity fished seven tunas.,8,6.851074,10.085938,10.085938,12.898438,0.875,0.5,0.75,1,0,0,0.20459,0.171875,0.037037,0,0.037037,0,0,1
A human youth befriended a teenager.,9,5.458849,10.382812,10.382812,11.796875,0.666667,0.444444,0.444444,1,0,0,0.345703,0.112,0.027778,0,0.027778,0,0,2
A human adult will compare a military squad.,9,7.069227,10.84375,10.84375,11.15625,0.888889,0.666667,0.555556,1,0,0,0.151489,0.141724,0.022727,0,0.022727,0,0,2
A communist party will not mail a letter.,9,5.584201,12.171875,12.171875,13.328125,0.555556,0.333333,0.222222,1,0,0,0.19397,0.153564,0.02439,0,0.02439,0,0,2
A human baby was evincing a subjective emotional feeling to a human baby.,16,4.891905,9.445312,9.445312,10.484375,0.625,0.4375,0.25,0.8125,0,0.133333,0.297363,0.201538,0.013699,0,0.013699,0,0,1
Six human adults weren't paying a teenager.,9,6.685655,8.960938,8.960938,9.398438,0.888889,0.777778,0.444444,1,0,0,0.304688,0.260742,0.046512,0,0.023256,0,0,2
A human child won't be soldering some steel.,11,6.15807,9.335938,9.335938,13.351562,0.727273,0.636364,0.363636,1,0,0,0.241577,0.169678,0.045455,0,0.022727,0,0,2
A japanese encephalitis virus killed a leech.,12,4.438149,9.664062,9.664062,13.632812,0.416667,0.333333,0.25,1,0,0,0.38501,0.11261,0.022222,0,0.022222,0,0,1
A teenager will be shouting.,6,6.791829,8.765625,8.765625,12.242188,0.833333,0.666667,0.5,1,0,0,0.216064,0.166138,0.035714,0,0.035714,0,0,2
