"Input","Prediction"
"Convert the following sentence to SUO-KIF: In 2022 alone, domestic transport was responsible for 113.2 million tonnes of carbon dioxide equivalent being released into the atmosphere.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? T ( DayFn 202 ) ) ( during ? P ? T ) ( instance ? H DomesticTransport ) ( instance ? P Releasing ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO CarbonDioxideExternal ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: John kicked the ball.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "John" ? H ) ( instance ? P Kicking ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Ball ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: John kicked the ball to Bill.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "John" ? H ) ( instance ? P Kicking ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Ball ) ( objectTransferred ? P ? DO ) ( instance ? IO Human ) ( attribute ? IO Male ) ( names "Bill" ? IO ) ( involvedInEvent ? P ? IO ) ) )"
"Convert the following sentence to SUO-KIF: Fossil fuel use can be phased out by conserving energy and switching to energy sources that do not produce significant carbon pollution.","( modalAttribute ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Deciding ) ( agent ? P You ) ( instance ? V2 Decreasing ) ( refers ? DO ? V2 ) ) ) )"
"Convert the following sentence to SUO-KIF: The most recent glacial maximum 20,000 years ago was some 5-7 degrees Celsius colder.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Decreasing ) ( agent ? P ? H ) ( instance ? DO CalcTemper ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The Northern Hemisphere and the North Pole have warmed much faster than the South Pole and Southern Hemisphere.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H NorthernHemisphere ) ( instance ? P Warmed ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO SouthPel ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Atmospheric aerosols produce a smaller, cooling effect.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H AtmosphericAerosols ) ( instance ? P Agriculture ) ( agent ? P ? H ) ( instance ? DO CoolingEffect ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: In the U.S., cities, states and citizens have pursued legal action to force the government and fossil fuel industry to take responsibility for causing global warming and enact new emissions curbs or provide compensation for climate change-related damage.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Running ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 Climate ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: Gerrard said legal action on climate change can be effective in settings in which courts are independent and influential.","( exists ( ? HA ) ( and ( instance ? HA Human ) ( names "Gerrard" ? HA ) ( said ? HA ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "CertacleChange" ? H ) ( instance ? P Interpreting ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Courts ) ( patient ? P ? DO ) ) ) Inflation ) ) ) )"
"Convert the following sentence to SUO-KIF: Ice core scientist and high altitude mountaineer Alison Criscitiello has collected ice core samples from pole to pole, including from the summit of Mount Logan, Canada's highest mountain, as part of the Rolex Perpetual Planet Initiative.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Alison" ? H ) ( instance ? P Getting ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 Snowing ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: Walmart said it is likely to miss its 2025 and 2030 targets for reducing planet-warming emissions due to challenges related to energy policy, infrastructure and availability of cost-effective low-carbon technologies.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Walmart" ? H ) ( instance ? P Seeing ) ( experiencer ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 ) ( refers ? DO ? V2 ) ) ) Likely ) )"
"Convert the following sentence to SUO-KIF: Last year the International Olympic Committee (IOC) warned that only 10 countries will be able to host snow sports by 2040 because of the impact of climate change.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H InternationalOlympicCommittee ( IOC ) ) ( warned ? P ? H ) ( before Now ( BeginFn ( WhenFn ? P ) ) ) ( instance ? P Pretending ) ( agent ? P ? H ) ( before Now ( BeginFn ( WhenFn ? P ) ) ) ( instance ? DO SnowSports ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The International Ski and Snowboard Federation (FIS) has launched a Sustainability Guide for Ski Resorts to help such locations become more resilient in the face of rising global temperatures and lower snowfall.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H InternationalSkiAndSnowboardFederation ( ? H ) ( instance ? P Putting ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO SustainabilityGuideForSnowResorts ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Christmas trees, like any other crop, are affected by the general rise in temperature associated with global warming and the extreme weather events that result from it.","( cropAttribute ChristmasTrees ) ( cropAttribute ( AssociationWithGlobalWarmingAnd ExtremeWeatherEvents ) ( resultFrom GWAS ) )"
"Convert the following sentence to SUO-KIF: Following ignition, strong winds and/or an unstable air column can further promote wildfire growth.","( exists ( ? KIF ? P ? DO ? IO ) ( and ( instance ? P Advertising ) ( agent ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Some studies suggest that the 'greening of the Earth' could partially offset rising greenhouse gas emissions by storing more carbon in plants.","( exists ( ? HA ) ( and ( instance ? HA Human ) ( names "Alga" ? HA ) ( suggests ( ? HA ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H ( exists ( ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? P Comparing ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) ) ( instance ? DO RisingGasEmissions ) ( patient ? P ? DO ) ) ) ) ) )"
"Convert the following sentence to SUO-KIF: Climate adjusts to seismic changes in the Earth's surface.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Climate ) ( instance ? P Changing ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? DO EarthSurface ) ( destination ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Each IPCC report has helped to build a scientific consensus that elevated concentrations of greenhouse gases in the atmosphere are the major drivers of rising near-surface air temperatures, sea level rise, and other associated ongoing climatic changes.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H ElevatedCollectionsOfGasosphereGas ) ( atmosphere ? H Elevation ) ( names "IPCC" ? H ) ( instance ? P Driving ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO SeaLevelRise ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Global carbon dioxide equivalent (CO2) concentration is now around 524 parts per million, the highest in at least 2 million years.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Interpreting ) ( agent ? P You ) ( instance ? V2 Million ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: South Korea is the world’s 13th-largest greenhouse gas (GHG) emitter.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "SouthKei" ? H ) ( instance ? P Transfer ) ( agent ? P ? H ) ( instance ? DO GreenhouseGas ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Even as China's annual emissions far outstrip other economies, Beijing's contributions to addressing climate change are hard to question.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "China" ? H ) ( instance ? P Putting ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? V2 ClimateChange ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: 58% of Indians think India should use less fossil fuels in the future.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Interpreting ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO FossilFuels ) ( patient ? P ? DO ) ) ) )"
"Convert the following sentence to SUO-KIF: Arctic tundra captures greenhouse gas in its soil.","(SOF1 SUO-KIF )"
"Convert the following sentence to SUO-KIF: Polar ice reflects sunlight from its surface into space.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H PolarIce ) ( instance ? P Refusing ) ( agent ? P ? H ) ( instance ? DO Sunlight ) ( patient ? P ? DO ) ( instance ? IO SolarPath ) ( instance ? IO SolarPath ) ( patient ? P ? IO ) ) )"
"Convert the following sentence to SUO-KIF: CO2 is a greenhouse gas.","( greenhouseGas )"
"Convert the following sentence to SUO-KIF: If we are to survive the gauntlet of the next centuries, the Earth needs us to end values and habits that destroy it, and start new ones.","( IF ? OBJ ) ( and ( we ARE ? GW ) ( and ( EndValuesAndHabitats ? GW ) ( Dissuade ? GW ) ( BeginFn ? GW ) ) )"
"Convert the following sentence to SUO-KIF: Climate change threatens the future of Pacific islands.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H ClimateChange ) ( instance ? P Threatening ) ( agent ? P ? H ) ( instance ? DO PacificIslands ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Climate change does not threaten the future of Pacific islands.","( not ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H ClimateChange ) ( instance ? P Threatening ) ( agent ? P ? H ) ( instance ? DO PacificIslands ) ( patient ? P ? DO ) ) ) )"
"Convert the following sentence to SUO-KIF: While Earth’s climate has changed throughout its history, the current warming is happening at a rate not seen in the past 10,000 years.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Earth" ? H ) ( instance ? P Putting ) ( agent ? P ? H ) ( instance ? DO Rate ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Sea level rise accelerates and is above global average.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H SeaLevelRise Accelerates ) ( above ( MentalAverageFn ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? P Accelerating ) ( agent ? P ? H ) ( instance ? DO GlobalAverage ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Ocean heating and acidification harm ecosystems and livelihoods.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H OceanHeatingAndAcidification ) ( instance ? P Injuring ) ( experiencer ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? DO EcosystemsAndDemendations ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Early warnings are an integral part of climate change adaptation and disaster risk reduction.","( integralPart EarlyWarnings ClimateChangeAdaptationAndCaseDisasterRiskReduction )"
"Convert the following sentence to SUO-KIF: Scientific information taken from natural sources (such as ice cores, rocks, and tree rings) and from modern equipment (like satellites and instruments) all show the signs of a changing climate.","( documentation SUO-KIF ) ( and ( scientificInformationTakenFrom NaturalSources (such as IceCores ) (RocksAndTreeRings ) (And (modernEquipment (like SatellitesAndInstruments ) ) (Signs ChangingClimate ) (Latitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ? C ) (Altitude ? LOC ?"
"Convert the following sentence to SUO-KIF: According to the Intergovernmental Panel on Climate Change (IPCC), 'Since systematic scientific assessments began in the 1970s, the influence of human activity on the warming of the climate system has evolved from theory to established fact.'","( subType IF SystematicScientificAssessmentsFn ( YearFn 1970 ) ) ) ( ? IPCC ) ( ? EXPERIENCE ) ( COUNT ? EXP ? EXP ? ) ( ? EXP ? EXP ? ) ( ? EXP ? ) ( ? EXP ? ) ( ? EXP ? ) ) )"
"Convert the following sentence to SUO-KIF: Carbon dioxide from human activities is increasing about 250 times faster than it did from natural sources after the last Ice Age.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H CarbonDioxide ) ( instance ? P Increasing ) ( agent ? P ? H ) ( instance ? DO NaturalSourcesAfterTheLast IceAge ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Most of the warming occurred in the past 40 years, with the seven most recent years being the warmest.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Most" ? H ) ( instance ? P Arriving ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Human ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The years 2016 and 2020 are tied for the warmest year on record.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "2016" ? H ) ( instance ? P Tying ) ( agent ? P ? H ) ( instance ? DO WarmestYear ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Earth stores 90% of the extra energy in the ocean.","( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring STORAGE ) ( substring ) )"
"Convert the following sentence to SUO-KIF: Data from NASA's Gravity Recovery and Climate Experiment show Greenland lost an average of 279 billion tons of ice per year between 1993 and 2019, while Antarctica lost about 148 billion tons of ice per year.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? T ( HourFn 279BodyOfTemperature ) ( during ( WhenFn ? P ) ) Now ) ( instance ? H Human ) ( names "Greg" ? H ) ( instance ? P Removing ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Ice ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Both the extent and thickness of Arctic sea ice has declined rapidly over the last several decades.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Compressing ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? P Decreasing ) ( agent ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The U.S. has also witnessed increasing numbers of intense rainfall events.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H UnitedStates ) ( instance ? P Seeing ) ( experiencer ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 WetLakeEvent ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: The ocean has absorbed between 20% and 30% of total anthropogenic carbon dioxide emissions in recent decades (7.2 to 10.8 billion metric tons per year) into its waters.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H Ocean ) ( instance ? P Ingesting ) ( experiencer ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO TotalAttributeEmissionsInRecentDecessors ( WhenFn ? P ) ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Since the beginning of the Industrial Revolution, the acidity of surface ocean waters has increased by about 30%.","( acidity SurfaceOceanWaters 30% ( Compressor ) )"
"Convert the following sentence to SUO-KIF: ESA's Climate Change Initiative generates global, decades-long satellite data records to track and understand key aspects of the Earth climate system.","( exists ( ? KIF ? P ? DO ? IO ) ( and ( instance ? P Creation ) ( agent ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Satellites help to check national greenhouse gas inventories and improve reporting of progress towards UNFCCC Paris Agreement goals.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Satellite ) ( instance ? P Looking ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? V2 Arriving ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: Jane walks.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Jane" ? H ) ( instance ? P Walking ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ) )"
"Convert the following sentence to SUO-KIF: She is playing a piano.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "She" ? H ) ( instance ? P Game ) ( agent ? P ? H ) ( instance ? DO Piano ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: He is handsome.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Translating ) ( agent ? P ? H ) ( instance ? V2 ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: The girl walked away.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H Girl ) ( instance ? P Walking ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 Translocation ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: The girl slowly walked away.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H Girl ) ( instance ? P Walking ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 Translocation ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: They studied APA rules for many hours, but they realized there was still much to learn.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Learning ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 Learning ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: Although she completed her literature review, she still needed to work on her methods section.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Working ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO LiteratureReview ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: John the plumber fixed the pipe.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "John" ? H ) ( instance ? P Putting ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Pipe ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: I make cakes when I am hungry.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Arriving ) ( agent ? P You ) ( instance ? V2 Hungry ) ( refers ? DO ? V2 ) ) )"
"Convert the following sentence to SUO-KIF: A cake is what I made.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Interpreting ) ( agent ? P You ) ( instance ? DO Cake ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: This is a cake I made.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Interpreting ) ( agent ? P You ) ( instance ? DO Cake ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: When I fell off my bike, I went to the hospital because I broke my arm.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Breaking ) ( agent ? P You ) ( instance ? DO Arm ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Due to his ill-health, he could not come home for Christmas.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Arriving ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? V2 Arriving ) ( refers ? DO ? V2 ) ) ) )"
"Convert the following sentence to SUO-KIF: Usually, Finn's parents would come to the airport as soon as his flight lands.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Finn" ? H ) ( instance ? P Arriving ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Airport ) ( destination ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Carol is a nurse.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Carol" ? H ) ( instance ? P Interpreting ) ( agent ? P ? H ) ( instance ? DO Nurse ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: All of us are leaving for Tokyo.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Leaving ) ( agent ? P You ) ( attribute ? DO Male ) ( names "Tokyo" ? DO ) ( instance ? DO Human ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Everyone found the book controversial.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Learning ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Book ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The Board offered me the job.","( exists ( ? H ? P ? DO ? IO ) ( and ( attribute ? H Board ) ( instance ? P Awarding ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Job ) ( patient ? P ? DO ) ) )"
