Length,Average Number of Sentences,Complex Sentence
32,1.7,"Geography The Caucasus Mountains are generally perceived to be a dividing line between Asia and Europe, and territories in Caucasia are alternately considered to be in one or both continents."
25,1.5,Description Anchovies are small green fish with blue reflections due to a silver longitudinal stripe that runs from the base of the caudal fin.
26,1.5,"Other users and bots may edit pages in your user space, though by convention your user page will usually not be edited by others."
42,1.8,"Diacritical marks and non-English letters are ignored, while numerical entries such as ""1812, War of"" are alphabetised as if the number had been written out (""Eighteen-twelve, War of"")."
18,1.5,"Luis Suárez Miramontes (born May 2, 1935) is a Spanish former footballer and manager."
15,1.0,Coupled with the aggressive expansion and expanded menu came the outsourcing of baked goods.
35,1.3,"These benefits are in some ways similar to those realized by owners of infrastructural capital which yields more goods, e. g. a factory which produces automobiles just as an apple tree produces apples."
25,1.3,"Greenland first entertained the idea of a flag of its own in 1973 when five Greenlanders proposed a green, white and blue flag."
19,1.2,They can also be used as a general test tube substitute particularly when a larger volume is desired.
18,1.3,Grosse Ile Township is a civil township of Wayne County in the U. S. state of Michigan.
27,1.5,"In respective singles matches, John Cena defeated Sabu in an Extreme lumberjack match, which featured superstars from the Raw and ECW brands at ringside."
12,1.2,Tiko United FC is a Cameroonian football club based in Tiko.
26,1.3,"In 1998, she contributed back-up vocals for the Refugee Camp's ""It's Too Late"", a Carroll King cover."
21,1.1,Tube sound (or valve sound) is the characteristic sound associated with a vacuum tube-based audio amplifier.
24,1.1,Great Seal of the United States Francis Hopkinson provided assistance to the second committee that designed the Great Seal of the United States.
17,1.0,"He was responsible there for music, the organ, directing chants and choir, etc."
15,1.1,The Renault Vel Satis is an executive car produced by the French manufacturer Renault.
17,1.4,Neptune is the eighth and outermost-known planet from the Sun in the Solar System.
29,1.7,"Riluzole does not reverse the damage already done to motor neurons, and patients taking the drug must be monitored for liver damage and other possible side effects."
14,1.0,Hurwicz was inducted into the American Academy of Arts and Sciences in 1965.
28,1.5,"In 1997 Ignacio Ramonet, editor of Le Monde Diplomatique, renewed the debate around the Tobin tax with an editorial titled ""Disarming the markets""."
18,1.1,Description Pack rats are prevalent in the deserts and highlands of western United States and northern Mexico.
11,1.0,The Parlement law courts of ancien régime France are established.
28,1.3,"Wilbur repays Charlotte by bringing home with him the sac of eggs (her ""magnum opus"") she had laid at the fair before dying."
17,1.4,She aided Theseus in overcoming the Minotaur and later became the bride of the god Dionysus.
30,1.4,Nessler An early alternative method for curling hair that was suitable for use on people was invented in 1905 by German hairdresser Charles Nessler (1872 – 1951).
10,1.1,"In 1972, arsonists set the bunker on fire."
20,1.1,"After she has finished her wrestling career, James plans to own a farm and be an equine trainer."
12,1.2,The new government in 1816 created the districts Steinfurt and Tecklenburg.
15,1.1,Add an appropriate copyright notice for your modifications adjacent to the other copyright notices.
20,1.1,"Above the boxes, La Scala has always had a gallery where the less wealthy can watch the performances."
22,1.4,"It is situated 44 miles (71 km) northeast of Pittsburgh, along the east bank of the Allegheny River."
33,1.9,"Initially elastic sweatbands were issued to each street crime unit member, based on the chosen color of the day: beginning the use of the color of the day recognition system."
26,1.4,"Solar thermal power plants can generally be built in a few years because solar plants are built almost entirely with modular, readily available materials."
16,1.4,"Daniel Waters also gained recognition for his screenplay, which won a 1990 Edgar Award."
34,1.4,"The Official Municipality Key, formerly also known as the Official Municipality Characteristic Number or Municipality Code Number, is a number sequence for the identification of politically independent municipalities or unincorporated areas."
13,1.4,"At least 537 deaths were blamed on Hanna, primarily in Haiti."
31,1.5,"The term most commonly refers to higher plants, but epiphytic bacteria, fungi (epiphytic fungi), algae, lichens, mosses, and ferns exist as well."
43,2.2,"In 2005, Stallone also inducted wrestling icon Hulk Hogan, who appeared in Rocky III as a wrestler named Thunderlips, into the WWE Hall of Fame; Stallone was also the person who offered Hogan the cameo in Rocky III."
20,1.1,"Even if a contribution violates the precise wording of a rule, it might still be a good contribution."
17,1.4,They must try to find a way home by using plotholes to teleport between dimensional realms.
25,1.5,"When Bonham Carter was just five, her mother had a serious nervous breakdown, from which it took her three years to recover."
41,2.1,"All members of this genus were once considered part of the same species, Calomyscus bailwardi, but they are now referred to as separate species due to major differences in chromosome number, skull measurements, and other features."
14,2.1,Neodymium is a chemical element with the symbol Nd and atomic number 60.
34,1.1,"More formally, vorticity can be related to the amount of ""circulation"" or ""rotation"" (or more strictly, the local angular rate of rotation) in a fluid."
31,1.7,"Fluctuations of this line horizon describe all matter, so every elementary particle can be described by a mode of oscillation of a very small segment or loop of string."
33,1.4,"In biology and demography, fecundity is the potential reproductive capacity of an organism or population, measured by the number of gametes (eggs), seed set or asexual propagules."
44,1.9,"Stone Cold then dragged a referee into the ring, but in a swerve, kicked Kurt Angle in the face, hit him with a Stunner, and placed Booker T on top of Kurt Angle and told the referee to count."
33,1.7,"In February 1942, he was hospitalized, later claiming that this was due to a nervous breakdown connected with the ethnic cleansing in Belarus, especially the genocide of the Jews."
13,1.1,Woodland may support an understory of shrubs and herbaceous plants including grasses.
19,1.1,"It has a black bill, crimson eyes, and a call reminiscent of a dog's bark."
30,1.3,"What the Spaniards then called ""chocolatl"" was said to be a beverage consisting of a chocolate base flavored with vanilla and other spices that was served cold."
18,1.2,"Some of the animals weighed as much as 700 kg (1,500 lb) or possibly larger."
25,1.3,"These exist, conjoined with starch, in the endosperms of some grass-related grains, notably wheat, rye, and barley."
14,1.3,Eraldo Pecci (born 12 April 1955) is an Italian former footballer.
15,1.1,"The bells of Lüdinghausen allegedly chimed by themselves, whenever Liudger entered the town."
31,1.6,"A Feast for Crows is the fourth of seven planned novels in A Song of Ice and Fire, an epic fantasy series by American author George R. R. Martin."
14,1.0,Food coloring is used both in commercial food production and in domestic cooking.
22,1.1,"On the outbreak of war in August 1914, the regiment went to France and was engaged in the early fighting."
17,1.4,Brunswick is an American city in the state of Georgia and the seat of Glynn County.
15,1.0,The color's name is derived from the typical color of the beverage champagne.
21,1.4,References External links Studylight version of The Wycliffe Bible (1395) Searchable by phrase or chapter / verse reference.
27,1.7,"It is an F-type asteroid, which means that it is very dark in colouring (darker than soot) with a carbonaceous composition."
20,1.5,"When disagreement occurs, explain yourself using talk pages, and give others the opportunity to do the same."
12,1.3,This is a list of German Chancellors since 1871 by longevity.
13,1.4,Thalassa is irregularly shaped and shows no sign of any geological modification.
12,1.0,Introduction Electrical energy conservation is an important element of energy policy.
19,1.1,"The film stars Al Pacino, John Cazale, Chris Sarandon, James Broderick, and Charles Durning."
29,1.6,"He took to the bush a fortnight later, reportedly with some provisions, an iron pot, and a musket stolen from a marine named Abraham Hand."
26,1.7,"The band sought to recreate the recording experience of Still Life, and again entered the studio with minimal rehearsals, and no lyrics written."
8,1.4,Hartmann died from an aneurysm in 1873.
9,1.0,Moreover he also unsuccessfully contested the Saarbrücken constituency.
22,1.4,"Today the garden is divided into sections containing the botanical school, gardens, ponds, greenhouses, and various buildings."
10,1.0,Athletic teams at the school are nicknamed the Eagles.
12,1.0,Pompeii was transformed into a much more public and open place.
17,1.2,Spurgeon was emotionally devastated by the event and it had a sobering influence on his life.
24,1.1,"The highest elevation in Puerto Rico, Cerro de Punta (4,390 feet; 1,338 m), is located in this range."
27,1.1,"External links On a Fad Diet of Rock Dust, How the Garden Does Grow Henry Homeyer, June 24, 2004, New York Times."
23,1.6,Health considerations Early-term surgical abortion is a simple procedure which is safer than childbirth when performed before the 16th week.
13,1.6,"Mattimeo is a fantasy novel by Brian Jacques, published in 1989."
43,1.7,"In addition to the town Gouda in the Netherlands, Gouda can refer to: Gouda (cheese) Gouda (pottery) Gouda (slang) Gouda, South Africa, a town in the Western Cape Province of South Africa."
37,1.6,"TPL then sold a conservation easement over the entire property to the state of Florida, while Polk County purchased the gardens portion of the property, less the development rights conveyed in the state easement."
10,1.0,The arrival of the two mice raises her morale.
12,1.2,"The film premiered in Mexico City on December 21, 1944."
17,1.2,"In common with The Beatles, they came from Liverpool and were managed by Brian Epstein."
16,1.3,"Warrington is a large town, borough and unitary authority area of Cheshire, England."
23,1.4,"The province has an area of 3,125 km ² which is divided into eight administrative districts (arrondissementen) containing 64 municipalities."
32,1.6,"Helene transitioned into a ""hybrid"" storm with both tropical and extratropical characteristics that afternoon, with both a deep warm core and an asymmetric, frontal-like appearance."
21,1.1,Some indigenous groups living in palm-rich areas use palms to make many of their necessary items and food.
23,1.3,It has a shaving head consisting of cutters that cut off the hair entering the head of the razor at skin level.
24,1.9,"Bartolo believes that the Count has been arrested, but Almaviva only has to mention his name to the officer to be released."
15,1.0,"Apparently after her death, Shah Jahan went into secluded mourning for a year."
24,1.5,"Since its creation, the distribution has become very different from Slackware in most regards while still maintaining compatibility with its binary packages."
35,1.7,"It started as an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998."
20,1.1,"However, the mineralogy of the X-type asteroids is not known well enough to constrain this further."
19,1.6,"The county's elevation decreases toward the east, with the lowest height in the Siret River valley."
24,1.3,"Tresca alleged that, before she had disappeared, Poyntz had talked to him about her disgust over Joseph Stalin's Great Terror."
23,1.2,"It was founded circa 1958 – 1959 by Malaclypse the Younger with the publication of its principal text, the Principia Discordia."
34,1.3,"By 2003, the Wi-Fi Alliance announced that WEP had been superseded by Wi-Fi Protected Access (WPA), which was a subset of then upcoming 802.11i amendment."
15,1.0,"In Faust's study, the poodle transforms into the devil (Mephistopheles)."
23,1.5,"Post-hardcore is a music genre that evolved from hardcore punk, itself an offshoot of the broader punk rock movement."
19,1.5,"N-Dubz are a MOBO award winning hip hop group from London, based around Camden Town."
29,1.3,"In the 1935 – 36 season, Thompson became the first goaltender to get an assist by intentionally passing the puck with his stick to a fellow player."
18,1.6,Tazz defeated Al Snow (5: 20) Tazz forced Snow to submit with the Tazzmission.
26,1.1,"It is situated in the southeastern part of the state, on the shore of a lake called the Tollensesee (18 km ²)."
42,1.8,"As well as current kit sponsors for Bayern Munich, Ferencvárosi TC, and West Bromwich Albion, T-Mobile were co-sponsors of Everton with the One2One brand and they also sponsored the 2002 FA Youth Cup Final."
39,2.1,"The bridge now traverses the Tarn valley above its lowest point, linking two limestone plateaux, the Causse du Larzac and the Causse Rouge, and is inside the perimeter of the Grands Causses regional natural park."
11,1.1,The name was announced as Thrym in IAU Circular 8177.
10,1.0,"In Christianity, an archbishop is an elevated bishop."
16,1.3,It is found mainly in Papua New Guinea at elevations between 2000 and 3000 meters.
17,1.4,"Iridophores are plates of chitin or protein, which can reflect the environment around a cuttlefish."
39,1.4,"It comprises the eastern half of the island of Timor, the nearby islands of Atauro and Jaco, and Oecussi-Ambeno, an exclave on the northwestern side of the island, within Indonesian West Timor."
42,1.5,"The track, then known as ""Loving You"", was largely improvisational and featured a wealth of sound effects and samples from science fiction radio plays, nature sounds, and Minnie Riperton's ""Lovin 'You""."
20,1.2,Order # 56 / CMLN of 20 October 1973 prescribed the coat of arms of the Republic of Mali.
9,1.0,Serbian ruler Stefan Nemanja begins his sole reign.
20,1.0,"Since independence, Botswana has had one of the fastest growth rates in per capita income in the world."
16,1.0,"They provide many desirable characteristics for use as ornament, timber, firewood and pulpwood."
26,1.1,"The state covers an area of 74,122 sq mi (191,976 km ²), or 5.83% of the total geographical area of India."
33,1.3,"The petitions at the end of the hymn (beginning Salvum fac populum tuum) are a selection of verses from the book of Psalms, appended subsequently to the original hymn."
23,1.1,Louis XIII (27 September 1601 – 14 May 1643) reigned as King of France and Navarre from 1610 to 1643.
26,1.6,"Economy The majority of the residents of Marske do not work within the town, but work in nearby industry or in Middlesbrough or Redcar."
48,3.1,"Soon after, he released a cover version of Leo Sayer's When I Need You as a single, which reached number 5 in the British charts, as well as a follow up single called No Matter What I Do, which reached number 23."
23,1.5,"Palestinian prime minister Abbas resigns (CNN) Before being named prime minister, Abbas led the PLO's Negotiations Affairs Department."
15,1.0,"In 1824, Van Diemen's Land became a colony in its own right."
33,2.4,"He is released back into the wild, now with more adult feathers, and a tracking device strapped to his back, and leads the humans home to his native colony."
15,1.2,"He also serves as music director of the Mozart Orchestra of Bologna, Italy."
32,1.5,"In addition to selling conventional merchandise, J. C. Penney stores often house several leased departments such as Sephora, Optical, Portrait Studios, Jewelry & Watch repair, etc."
13,1.0,"In India, it is more often called the Chaldean Syrian Church."
22,1.4,"In 1843, John Couch Adams calculated the orbit of a hypothesized eighth planet that would account for Uranus's motion."
24,1.8,"Nevin returned to America in 1887, and took up his residence in Boston, where he taught and played at occasional concerts."
28,2.2,"A photograph of Simon Rodia is included on the cover of the Beatles' album Sgt. Pepper's Lonely Hearts Club Band, released in 1967."
18,1.7,"The mercenaries encounter Ripley, and their youngest member Call (Winona Ryder) recognizes her name."
34,1.7,The low gradually became better organized and was determined to have become a tropical depression the next morning while located 50 mi (80 km) northeast of the Nicaragua / Honduras border.
21,1.5,Lot-et-Garonne is a department in the southwest of France named after the Lot and Garonne rivers.
25,1.9,"Education From 1954 to 1957, Annan attended the elite Mfantsipim school, a Methodist boarding school in Cape Coast founded in the 1870s."
42,2.0,"Obsidian has been used in cardiac surgery, as well-crafted obsidian blades have a cutting edge many times sharper than high-quality steel surgical scalpels, with the edge of the blade being only about 3 nanometres wide."
26,1.5,"After Napier initially gained military control of the region by forcing an agreement with the Sindh Amirs, his forces attacked the fortress at Imamgarh."
24,1.4,"Some of his aggressive actions, now sometimes termed liberal interventionist, were greatly controversial at the time, and remain so today."
35,1.9,"Cultivation of the Valencia in Orange County had all but ceased by the mid-1990s due to rising property costs, which drove most of what remained of the Southern California orange industry into Florida."
26,1.7,"The buildings in Bayeux were virtually untouched during the Battle of Normandy, the German forces being fully involved in defending Caen from the Allies."
34,1.8,"First Fleet is the name given to the 11 ships which sailed from Great Britain on 13 May 1787 with about 1,487 people to establish the first European colony in New South Wales."
19,1.2,"Trigonometric functions are important in the study of triangles and modeling periodic phenomena, among many other applications."
16,1.0,Among this group are species with some of the most potent venoms of all snakes.
10,1.0,He was considered by many to be a saint.
27,1.3,"At the height of its glory, Ani had a population of 100,000 - 200,000 people and was the rival of Constantinople, Baghdad and Cairo."
22,1.7,"As demand for coal slipped following World War II, mines began to close across the region, causing mass unemployment."
12,1.0,Donald became the most popular of the Disney characters in Scandinavia.
10,1.0,"Compared with other species, human childbirth is dangerous."
28,1.6,"The family moved to Vienna in 1907 where it changed the Czech Slavic name of ""Zajtich"" to the invented German ""Seyss-Inquart""."
36,1.9,"Paul Gray (# 2) Active: 1995 – present Instruments: bass, backing vocals Release contributions: all Slipknot releases Paul Gray was a member of the original band formed in 1995."
23,1.1,"In contrast to the Hollywood portrait of schizophrenics, mentally ill people are essentially no more prone to violence than sane individuals."
42,1.5,"The Lion King 1 ½ (also known as The Lion King 3: Hakuna Matata in some countries) is an American direct-to-video animated film released by Walt Disney Home Entertainment on February 10, 2004."
28,1.3,This era coincided with the Medieval Warm Period (800 1300) and stopped with the start of the Little Ice Age (about 1250 1850).
21,1.6,Bagnotar is one of the 51 Union Councils of Abbottabad District in the North-West Frontier Province of Pakistan.
16,1.4,"The first driver to win multiple Championships was Alberto Ascari, in 1952 and 1953."
17,1.3,"Adam Smith, a graduate student of the college, is perhaps its best known alumnus."
24,1.6,"A Bulldog, also known as British Bulldog or English Bulldog, is a breed of dog which traces its ancestry to England."
19,1.4,"The relocation process has not yet been completed, and Dar es Salaam remains Tanzania's primary city."
23,1.6,It is one of the nine species of leaf-eating kangaroos identified in fossils found in the Naracoorte Caves National Park.
32,1.7,Pakistan's founder Muhammad Ali Jinnah expressed admiration for Turkey's founding leader Mustafa Kemal Atatürk and expressed a desire to develop Pakistan on the Turkish model of modernism and secularism.
30,2.0,"One half continued to race northward, affecting the Central United States along its path, and was last distinguishable in the eastern Great Lakes region on August 31."
12,1.0,There are numerous legends about the origins of boxing in Greece.
18,1.1,The City of Sunderland has been commended several times on its commitment to preserving its natural faculties.
38,1.4,"After suffering from severe frostbite on the Eastern Front at the end of 1942, he served as an Offizier für wehrgeistige Führung (political officer) at the antiaircraft artillery school in Altenstadt, near Schongau."
16,1.1,The images taken after the probe's landing show a flat plain covered in pebbles.
20,1.4,The third digit designates the government district (in areas without government districts a zero is used instead).
19,1.2,"Vedic Soma In the Vedas, Soma is portrayed as sacred and as a god (deva)."
14,1.3,January 30 Indian pacifist and leader Mahatma Gandhi is assassinated by Nathuram Godse.
15,1.4,"She first gained popularity in Playboy, becoming the 1993 Playmate of the Year."
18,1.3,"Archers of Loaf was an American indie-rock band originally from Chapel Hill, North Carolina."
25,1.0,"To avoid adversaries from guessing the key using a brute-force attack, the key space is usually designed to be extremely large."
10,1.0,The first church of Benrath was constructed in 1002.
22,1.1,Style In Bruegel's later years he painted in a simpler style than the Italianate art that prevailed in his time.
9,1.1,The corpses were often left decaying for months.
33,1.4,"ECW Background After World Wrestling Entertainment (WWE) bought all of Extreme Championship Wrestling (ECW)'s assets in 2003, the company began releasing DVDs promoting the original ECW."
18,1.1,"While on vacation in London, Fraser attended his first professional theatrical performance at the West End."
21,1.4,It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard et al.
15,1.0,"Such is in addition, in the coats of arms of some neighboring places."
15,1.0,His misadventures are often fueled by his immature mannerisms and his love of food.
28,1.6,"This article covers the details of the Preparations for Hurricane Katrina, a major category 5 hurricane that devastated parts of Louisiana, Mississippi, and Alabama."
